Variable,r,p_value,N,Significant
Pensieri generati da altri,-0.121,0.6799,14,False
Parole lette da qualcun altro,-0.088,0.7646,14,False
Pensieri non propri,0.053,0.8576,14,False
Pensieri come scritti,-0.196,0.5018,14,False
Pensieri ripetuti o echeggianti,0.156,0.5934,14,False
Perdita di contatto con se stessi,0.361,0.2044,14,False
Non essere più la stessa persona,-0.015,0.9583,14,False
Vuoto interiore,0.198,0.4969,14,False
Disconnessione da sé e dai propri pensieri,0.28,0.3327,14,False
Sensazione di non essere l'autore delle proprie azioni,-0.04,0.893,14,False
Dubbio tra dire e pensare,-0.031,0.9167,14,False
Guardarsi dall'esterno,-0.381,0.1789,14,False
Guardarsi da fuori dal corpo,-0.233,0.4218,14,False
Perdita di controllo del corpo,0.057,0.8458,14,False
