Variable,r,p_value,N,Significant
Pensieri generati da altri,0.452,0.0906,15,False
Parole lette da qualcun altro,-0.011,0.9697,15,False
Pensieri non propri,0.47,0.077,15,False
Pensieri come scritti,-0.152,0.5889,15,False
Pensieri ripetuti o echeggianti,0.263,0.3441,15,False
Perdita di contatto con se stessi,-0.1,0.7227,15,False
Non essere più la stessa persona,0.148,0.5978,15,False
Vuoto interiore,-0.036,0.8994,15,False
Disconnessione da sé e dai propri pensieri,0.125,0.6568,15,False
Sensazione di non essere l'autore delle proprie azioni,0.502,0.0564,15,False
Dubbio tra dire e pensare,0.511,0.0515,15,False
Guardarsi dall'esterno,0.225,0.4197,15,False
Guardarsi da fuori dal corpo,0.281,0.311,15,False
Perdita di controllo del corpo,0.39,0.1511,15,False
