Variable,r,p_value,N,Significant
Pensieri generati da altri,0.083,0.8312,9,False
Parole lette da qualcun altro,0.033,0.9322,9,False
Pensieri non propri,0.133,0.7324,9,False
Pensieri come scritti,-0.4,0.2861,9,False
Pensieri ripetuti o echeggianti,-0.4,0.2861,9,False
Perdita di contatto con se stessi,-0.217,0.5755,9,False
Non essere più la stessa persona,-0.267,0.4879,9,False
Vuoto interiore,-0.167,0.6682,9,False
Disconnessione da sé e dai propri pensieri,0.217,0.5755,9,False
Sensazione di non essere l'autore delle proprie azioni,-0.55,0.125,9,False
Dubbio tra dire e pensare,-0.367,0.3317,9,False
Guardarsi dall'esterno,-0.233,0.5457,9,False
Guardarsi da fuori dal corpo,-0.2,0.6059,9,False
Perdita di controllo del corpo,0.367,0.3317,9,False
