Variable,r,p_value,N,Significant
Pensieri generati da altri,-0.377,0.3178,9,False
Parole lette da qualcun altro,-0.477,0.1942,9,False
Pensieri non propri,-0.201,0.6044,9,False
Pensieri come scritti,-0.477,0.1942,9,False
Pensieri ripetuti o echeggianti,-0.427,0.252,9,False
Perdita di contatto con se stessi,-0.377,0.3178,9,False
Non essere più la stessa persona,-0.251,0.5147,9,False
Vuoto interiore,-0.895,0.0011,9,True
Disconnessione da sé e dai propri pensieri,-0.36,0.3415,9,False
Sensazione di non essere l'autore delle proprie azioni,-0.561,0.1163,9,False
Dubbio tra dire e pensare,0.226,0.5588,9,False
Guardarsi dall'esterno,-0.418,0.2624,9,False
Guardarsi da fuori dal corpo,-0.368,0.3296,9,False
Perdita di controllo del corpo,-0.092,0.8138,9,False
