Variable,r,p_value,N,Significant
Pensieri generati da altri,-0.322,0.2828,13,False
Parole lette da qualcun altro,-0.273,0.3673,13,False
Pensieri non propri,-0.507,0.0771,13,False
Pensieri come scritti,-0.65,0.0161,13,True
Pensieri ripetuti o echeggianti,-0.449,0.1237,13,False
Perdita di contatto con se stessi,-0.785,0.0015,13,True
Non essere più la stessa persona,-0.264,0.3826,13,False
Vuoto interiore,-0.03,0.9217,13,False
Disconnessione da sé e dai propri pensieri,-0.325,0.2785,13,False
Sensazione di non essere l'autore delle proprie azioni,-0.223,0.4637,13,False
Dubbio tra dire e pensare,-0.504,0.079,13,False
Guardarsi dall'esterno,-0.361,0.2257,13,False
Guardarsi da fuori dal corpo,-0.118,0.6999,13,False
Perdita di controllo del corpo,-0.46,0.1137,13,False
