Variable,r,p_value,N,Significant
Pensieri generati da altri,0.207,0.4976,13,False
Parole lette da qualcun altro,0.083,0.7881,13,False
Pensieri non propri,0.234,0.4406,13,False
Pensieri come scritti,-0.025,0.9358,13,False
Pensieri ripetuti o echeggianti,0.174,0.5701,13,False
Perdita di contatto con se stessi,0.298,0.3228,13,False
Non essere più la stessa persona,-0.094,0.7605,13,False
Vuoto interiore,0.254,0.4028,13,False
Disconnessione da sé e dai propri pensieri,0.43,0.1421,13,False
Sensazione di non essere l'autore delle proprie azioni,0.24,0.4296,13,False
Dubbio tra dire e pensare,0.008,0.9786,13,False
Guardarsi dall'esterno,0.281,0.3517,13,False
Guardarsi da fuori dal corpo,0.328,0.2735,13,False
Perdita di controllo del corpo,0.273,0.3666,13,False
