Variable,r,p_value,N,Significant
Pensieri generati da altri,0.151,0.6391,12,False
Parole lette da qualcun altro,-0.046,0.8879,12,False
Pensieri non propri,0.587,0.0448,12,True
Pensieri come scritti,0.232,0.4681,12,False
Pensieri ripetuti o echeggianti,0.088,0.786,12,False
Perdita di contatto con se stessi,-0.13,0.6871,12,False
Non essere più la stessa persona,-0.116,0.7196,12,False
Vuoto interiore,-0.306,0.3337,12,False
Disconnessione da sé e dai propri pensieri,0.271,0.3949,12,False
Sensazione di non essere l'autore delle proprie azioni,-0.162,0.6156,12,False
Dubbio tra dire e pensare,-0.134,0.679,12,False
Guardarsi dall'esterno,-0.095,0.7692,12,False
Guardarsi da fuori dal corpo,0.123,0.7033,12,False
Perdita di controllo del corpo,-0.264,0.4077,12,False
