Variable,r,p_value,N,Significant
Pensieri generati da altri,-0.253,0.4274,12,False
Parole lette da qualcun altro,-0.116,0.7196,12,False
Pensieri non propri,-0.116,0.7196,12,False
Pensieri come scritti,-0.081,0.8028,12,False
Pensieri ripetuti o echeggianti,-0.197,0.5398,12,False
Perdita di contatto con se stessi,-0.134,0.679,12,False
Non essere più la stessa persona,-0.137,0.671,12,False
Vuoto interiore,-0.232,0.4681,12,False
Disconnessione da sé e dai propri pensieri,-0.088,0.786,12,False
Sensazione di non essere l'autore delle proprie azioni,-0.193,0.5472,12,False
Dubbio tra dire e pensare,0.239,0.4544,12,False
Guardarsi dall'esterno,0.035,0.9136,12,False
Guardarsi da fuori dal corpo,-0.359,0.2525,12,False
Perdita di controllo del corpo,-0.313,0.3221,12,False
