Variable,r,p_value,N,Significant
Pensieri generati da altri,-0.145,0.6538,12,False
Parole lette da qualcun altro,0.258,0.4191,12,False
Pensieri non propri,0.176,0.5835,12,False
Pensieri come scritti,-0.254,0.4257,12,False
Pensieri ripetuti o echeggianti,-0.014,0.9653,12,False
Perdita di contatto con se stessi,-0.088,0.7852,12,False
Non essere più la stessa persona,-0.222,0.4876,12,False
Vuoto interiore,0.522,0.0817,12,False
Disconnessione da sé e dai propri pensieri,0.702,0.0109,12,True
Sensazione di non essere l'autore delle proprie azioni,0.162,0.6144,12,False
Dubbio tra dire e pensare,0.046,0.8875,12,False
Guardarsi dall'esterno,-0.18,0.5758,12,False
Guardarsi da fuori dal corpo,-0.078,0.8105,12,False
Perdita di controllo del corpo,-0.18,0.5758,12,False
