Variable,r,p_value,N,Significant
Pensieri generati da altri,0.076,0.6734,33,False
Parole lette da qualcun altro,-0.084,0.6438,33,False
Pensieri non propri,0.327,0.0636,33,False
Pensieri come scritti,-0.025,0.8911,33,False
Pensieri ripetuti o echeggianti,0.016,0.9314,33,False
Perdita di contatto con se stessi,0.314,0.0753,33,False
Non essere più la stessa persona,0.148,0.4115,33,False
Vuoto interiore,0.275,0.1207,33,False
Disconnessione da sé e dai propri pensieri,0.289,0.1034,33,False
Sensazione di non essere l'autore delle proprie azioni,0.129,0.475,33,False
Dubbio tra dire e pensare,-0.042,0.8156,33,False
Guardarsi dall'esterno,-0.024,0.8962,33,False
Guardarsi da fuori dal corpo,0.084,0.6438,33,False
Perdita di controllo del corpo,-0.134,0.4584,33,False
