Variable,r,p_value,N,Significant
Pensieri generati da altri,-0.19,0.3727,24,False
Parole lette da qualcun altro,-0.22,0.3024,24,False
Pensieri non propri,0.148,0.4896,24,False
Pensieri come scritti,-0.181,0.3965,24,False
Pensieri ripetuti o echeggianti,-0.156,0.4653,24,False
Perdita di contatto con se stessi,0.003,0.9871,24,False
Non essere più la stessa persona,0.175,0.4129,24,False
Vuoto interiore,0.125,0.5603,24,False
Disconnessione da sé e dai propri pensieri,-0.0,0.9984,24,False
Sensazione di non essere l'autore delle proprie azioni,0.224,0.2936,24,False
Dubbio tra dire e pensare,0.166,0.4369,24,False
Guardarsi dall'esterno,0.032,0.8827,24,False
Guardarsi da fuori dal corpo,0.126,0.5562,24,False
Perdita di controllo del corpo,-0.004,0.9839,24,False
