Variable,r,p_value,N,Significant
Pensieri generati da altri,0.214,0.2402,32,False
Parole lette da qualcun altro,0.187,0.3056,32,False
Pensieri non propri,-0.262,0.1475,32,False
Pensieri come scritti,-0.154,0.4016,32,False
Pensieri ripetuti o echeggianti,-0.038,0.8356,32,False
Perdita di contatto con se stessi,-0.077,0.677,32,False
Non essere più la stessa persona,-0.12,0.5127,32,False
Vuoto interiore,-0.092,0.618,32,False
Disconnessione da sé e dai propri pensieri,-0.026,0.8897,32,False
Sensazione di non essere l'autore delle proprie azioni,-0.095,0.6053,32,False
Dubbio tra dire e pensare,-0.019,0.9182,32,False
Guardarsi dall'esterno,0.009,0.9594,32,False
Guardarsi da fuori dal corpo,-0.167,0.3623,32,False
Perdita di controllo del corpo,-0.005,0.9793,32,False
