Variable,r,p_value,N,Significant
Pensieri generati da altri,-0.077,0.8112,12,False
Parole lette da qualcun altro,-0.453,0.1387,12,False
Pensieri non propri,-0.183,0.5696,12,False
Pensieri come scritti,-0.07,0.8281,12,False
Pensieri ripetuti o echeggianti,-0.193,0.5472,12,False
Perdita di contatto con se stessi,-0.014,0.9654,12,False
Non essere più la stessa persona,0.018,0.9568,12,False
Vuoto interiore,0.074,0.8197,12,False
Disconnessione da sé e dai propri pensieri,0.028,0.9309,12,False
Sensazione di non essere l'autore delle proprie azioni,-0.25,0.4341,12,False
Dubbio tra dire e pensare,-0.422,0.172,12,False
Guardarsi dall'esterno,-0.025,0.9395,12,False
Guardarsi da fuori dal corpo,-0.049,0.8793,12,False
Perdita di controllo del corpo,-0.288,0.3636,12,False
