Variable,r,p_value,N,Significant
Pensieri generati da altri,0.169,0.6203,11,False
Parole lette da qualcun altro,-0.169,0.6203,11,False
Pensieri non propri,-0.05,0.8837,11,False
Pensieri come scritti,0.055,0.8732,11,False
Pensieri ripetuti o echeggianti,-0.009,0.9788,11,False
Perdita di contatto con se stessi,0.141,0.6787,11,False
Non essere più la stessa persona,-0.305,0.3614,11,False
Vuoto interiore,0.018,0.9576,11,False
Disconnessione da sé e dai propri pensieri,0.214,0.5272,11,False
Sensazione di non essere l'autore delle proprie azioni,-0.114,0.7388,11,False
Dubbio tra dire e pensare,-0.109,0.749,11,False
Guardarsi dall'esterno,-0.146,0.6689,11,False
Guardarsi da fuori dal corpo,0.059,0.8627,11,False
Perdita di controllo del corpo,0.1,0.7694,11,False
