Variable,r,p_value,N,Significant
Pensieri generati da altri,0.084,0.7954,12,False
Parole lette da qualcun altro,-0.042,0.897,12,False
Pensieri non propri,0.476,0.1182,12,False
Pensieri come scritti,0.21,0.5128,12,False
Pensieri ripetuti o echeggianti,0.021,0.9484,12,False
Perdita di contatto con se stessi,-0.042,0.897,12,False
Non essere più la stessa persona,-0.14,0.6646,12,False
Vuoto interiore,-0.224,0.4845,12,False
Disconnessione da sé e dai propri pensieri,0.154,0.6331,12,False
Sensazione di non essere l'autore delle proprie azioni,-0.084,0.7954,12,False
Dubbio tra dire e pensare,-0.084,0.7954,12,False
Guardarsi dall'esterno,-0.126,0.6967,12,False
Guardarsi da fuori dal corpo,0.112,0.7292,12,False
Perdita di controllo del corpo,-0.252,0.4299,12,False
