Variable,r,p_value,N,Significant
Pensieri generati da altri,0.123,0.7186,11,False
Parole lette da qualcun altro,-0.114,0.7388,11,False
Pensieri non propri,-0.337,0.3107,11,False
Pensieri come scritti,-0.187,0.5824,11,False
Pensieri ripetuti o echeggianti,0.077,0.8209,11,False
Perdita di contatto con se stessi,-0.351,0.2902,11,False
Non essere più la stessa persona,-0.419,0.1994,11,False
Vuoto interiore,-0.506,0.1125,11,False
Disconnessione da sé e dai propri pensieri,-0.374,0.2578,11,False
Sensazione di non essere l'autore delle proprie azioni,-0.26,0.4406,11,False
Dubbio tra dire e pensare,-0.159,0.6396,11,False
Guardarsi dall'esterno,-0.041,0.9047,11,False
Guardarsi da fuori dal corpo,-0.661,0.0269,11,True
Perdita di controllo del corpo,0.141,0.6787,11,False
