Variable,r,p_value,N,Significant
Pensieri generati da altri,-0.08,0.6619,32,False
Parole lette da qualcun altro,-0.194,0.2875,32,False
Pensieri non propri,0.213,0.2425,32,False
Pensieri come scritti,-0.12,0.5123,32,False
Pensieri ripetuti o echeggianti,-0.036,0.8458,32,False
Perdita di contatto con se stessi,0.172,0.3451,32,False
Non essere più la stessa persona,-0.12,0.513,32,False
Vuoto interiore,0.034,0.8513,32,False
Disconnessione da sé e dai propri pensieri,0.209,0.251,32,False
Sensazione di non essere l'autore delle proprie azioni,-0.139,0.4489,32,False
Dubbio tra dire e pensare,-0.271,0.1338,32,False
Guardarsi dall'esterno,-0.276,0.1265,32,False
Guardarsi da fuori dal corpo,-0.095,0.6069,32,False
Perdita di controllo del corpo,-0.095,0.6062,32,False
