Variable,r,p_value,N,Significant
Pensieri generati da altri,-0.26,0.2189,24,False
Parole lette da qualcun altro,-0.044,0.8369,24,False
Pensieri non propri,-0.157,0.4626,24,False
Pensieri come scritti,-0.166,0.4391,24,False
Pensieri ripetuti o echeggianti,-0.338,0.1059,24,False
Perdita di contatto con se stessi,-0.03,0.8877,24,False
Non essere più la stessa persona,0.144,0.5009,24,False
Vuoto interiore,0.067,0.7543,24,False
Disconnessione da sé e dai propri pensieri,0.003,0.9887,24,False
Sensazione di non essere l'autore delle proprie azioni,0.047,0.8291,24,False
Dubbio tra dire e pensare,-0.054,0.8008,24,False
Guardarsi dall'esterno,0.07,0.7466,24,False
Guardarsi da fuori dal corpo,0.191,0.3704,24,False
Perdita di controllo del corpo,0.015,0.9437,24,False
