Variable,r,p_value,N,Significant
Pensieri generati da altri,0.357,0.1908,15,False
Parole lette da qualcun altro,-0.184,0.5113,15,False
Pensieri non propri,0.411,0.128,15,False
Pensieri come scritti,0.313,0.2563,15,False
Pensieri ripetuti o echeggianti,0.15,0.5933,15,False
Perdita di contatto con se stessi,0.229,0.4121,15,False
Non essere più la stessa persona,-0.291,0.2921,15,False
Vuoto interiore,-0.125,0.6568,15,False
Disconnessione da sé e dai propri pensieri,0.086,0.7611,15,False
Sensazione di non essere l'autore delle proprie azioni,0.197,0.4825,15,False
Dubbio tra dire e pensare,0.211,0.4505,15,False
Guardarsi dall'esterno,0.336,0.2208,15,False
Guardarsi da fuori dal corpo,0.013,0.9647,15,False
Perdita di controllo del corpo,0.209,0.4545,15,False
