Variable,r,p_value,N,Significant
Pensieri generati da altri,0.0,1.0,12,False
Parole lette da qualcun altro,-0.392,0.2081,12,False
Pensieri non propri,-0.14,0.6646,12,False
Pensieri come scritti,-0.385,0.217,12,False
Pensieri ripetuti o echeggianti,-0.203,0.5273,12,False
Perdita di contatto con se stessi,0.077,0.8122,12,False
Non essere più la stessa persona,-0.021,0.9484,12,False
Vuoto interiore,-0.084,0.7954,12,False
Disconnessione da sé e dai propri pensieri,-0.308,0.3306,12,False
Sensazione di non essere l'autore delle proprie azioni,-0.14,0.6646,12,False
Dubbio tra dire e pensare,-0.161,0.6175,12,False
Guardarsi dall'esterno,-0.245,0.4433,12,False
Guardarsi da fuori dal corpo,-0.056,0.8629,12,False
Perdita di controllo del corpo,-0.441,0.1517,12,False
