Variable,r,p_value,N,Significant
Pensieri generati da altri,-0.218,0.5192,11,False
Parole lette da qualcun altro,-0.218,0.5192,11,False
Pensieri non propri,-0.236,0.4841,11,False
Pensieri come scritti,0.091,0.7904,11,False
Pensieri ripetuti o echeggianti,-0.455,0.1601,11,False
Perdita di contatto con se stessi,-0.2,0.5554,11,False
Non essere più la stessa persona,-0.273,0.4171,11,False
Vuoto interiore,0.109,0.7495,11,False
Disconnessione da sé e dai propri pensieri,-0.245,0.4669,11,False
Sensazione di non essere l'autore delle proprie azioni,-0.309,0.355,11,False
Dubbio tra dire e pensare,-0.209,0.5372,11,False
Guardarsi dall'esterno,0.1,0.7699,11,False
Guardarsi da fuori dal corpo,-0.027,0.9366,11,False
Perdita di controllo del corpo,-0.055,0.8734,11,False
