Variable,r,p_value,N,Significant
Pensieri generati da altri,-0.09,0.3978,90,False
Parole lette da qualcun altro,-0.165,0.1211,90,False
Pensieri non propri,-0.018,0.8696,90,False
Pensieri come scritti,-0.054,0.6158,90,False
Pensieri percepiti come rumorosi,-0.367,0.0004,90,True
Pensieri ripetuti o echeggianti,-0.098,0.3605,90,False
Vedere i propri pensieri,-0.196,0.0646,90,False
Vita attuale scollegata dal futuro,-0.178,0.0938,90,False
Perdita di identità,-0.246,0.0192,90,True
Vera identità scomparsa,-0.016,0.8818,90,False
Perdita di contatto con se stessi,0.063,0.553,90,False
Distanza da se stessi,0.075,0.4825,90,False
Perdita totale di sé,-0.185,0.0813,90,False
Ricerca di identità tramite oggetti,-0.01,0.9242,90,False
Vivere in un altro mondo,,,90,False
Paura di perdersi,-0.159,0.1356,90,False
Estraneità a se stessi,-0.066,0.5361,90,False
Perdita di connessione col mondo,-0.276,0.0084,90,True
Scarsa presenza nel mondo,-0.056,0.5999,90,False
Non essere più la stessa persona,-0.035,0.7418,90,False
Vuoto interiore,-0.09,0.4004,90,False
Pensare a se stessi come un'altra persona,-0.143,0.1785,90,False
Disconnessione da sé e dai propri pensieri,0.001,0.989,90,False
Svanire dall'esistenza,-0.204,0.0541,90,False
Assorbimento nell'introspezione,-0.213,0.0433,90,True
Sensazione di non essere l'autore delle proprie azioni,-0.027,0.8002,90,False
Sensazione di stare cambiando,-0.191,0.0708,90,False
Appiattimento emotivo,-0.056,0.5996,90,False
Alterazione del significato del mondo,-0.041,0.7005,90,False
Dubbio tra provare e immaginare,-0.12,0.2605,90,False
Dubbio tra dire e pensare,-0.114,0.2865,90,False
Alterazione della percezione del tempo,-0.26,0.0133,90,True
"Tempo che accelera, rallenta o si ferma",-0.321,0.002,90,True
Amnesia di azioni compiute,-0.191,0.0712,90,False
Disallineamento tra espressione e vissuto interno,0.049,0.6461,90,False
Guardarsi dall'esterno,-0.033,0.7577,90,False
Guardarsi da fuori dal corpo,-0.021,0.8407,90,False
Età percepita alterata,-0.201,0.0572,90,False
Corpo percepito come cambiato,-0.013,0.906,90,False
Arti percepiti come non propri,0.1,0.3478,90,False
Perdita di controllo del corpo,0.051,0.6315,90,False
Controllo allo specchio,,,90,False
Sensazioni elettriche nel corpo,-0.134,0.2075,90,False
Sensazioni termiche senza causa,-0.207,0.0508,90,False
Dolore ai rumori,-0.234,0.0261,90,True
Gambe che si piegano da ferme,-0.174,0.1016,90,False
Incapacità di controllare il corpo,-0.215,0.0419,90,True
Impossibilità di muoversi,-0.071,0.5038,90,False
Debolezza improvvisa di un arto,-0.183,0.0846,90,False
Movimento percepito per imitazione,-0.046,0.6674,90,False
Osservatore passivo del mondo,-0.202,0.0566,90,False
Scomparsa della barriera tra sé e il mondo,0.016,0.8818,90,False
Dubbio sulla propria esistenza,-0.156,0.1419,90,False
Mancanza di idee proprie,-0.126,0.2366,90,False
Non far parte del mondo,-0.272,0.0096,90,True
Sentirsi come un fantasma,-0.118,0.2685,90,False
Evitamento per mancanza di opinioni,0.102,0.338,90,False
