Variable,r,p_value,N,Significant
Pensieri generati da altri,-0.051,0.7243,51,False
Parole lette da qualcun altro,-0.216,0.1275,51,False
Pensieri non propri,-0.028,0.8473,51,False
Pensieri come scritti,-0.119,0.4043,51,False
Pensieri percepiti come rumorosi,-0.43,0.0016,51,True
Pensieri ripetuti o echeggianti,-0.033,0.8171,51,False
Vedere i propri pensieri,-0.226,0.1115,51,False
Vita attuale scollegata dal futuro,-0.078,0.5843,51,False
Perdita di identità,-0.361,0.0093,51,True
Vera identità scomparsa,0.149,0.2964,51,False
Perdita di contatto con se stessi,0.131,0.359,51,False
Distanza da se stessi,0.093,0.516,51,False
Perdita totale di sé,-0.262,0.0631,51,False
Ricerca di identità tramite oggetti,0.014,0.9237,51,False
Vivere in un altro mondo,,,51,False
Paura di perdersi,-0.188,0.1861,51,False
Estraneità a se stessi,-0.127,0.3726,51,False
Perdita di connessione col mondo,-0.314,0.0249,51,True
Scarsa presenza nel mondo,-0.055,0.7007,51,False
Non essere più la stessa persona,-0.032,0.8211,51,False
Vuoto interiore,-0.168,0.2392,51,False
Pensare a se stessi come un'altra persona,-0.121,0.3978,51,False
Disconnessione da sé e dai propri pensieri,0.01,0.9447,51,False
Svanire dall'esistenza,-0.341,0.0145,51,True
Assorbimento nell'introspezione,-0.17,0.2335,51,False
Sensazione di non essere l'autore delle proprie azioni,-0.119,0.4062,51,False
Sensazione di stare cambiando,-0.144,0.3131,51,False
Appiattimento emotivo,-0.015,0.9193,51,False
Alterazione del significato del mondo,-0.031,0.8289,51,False
Dubbio tra provare e immaginare,-0.103,0.4738,51,False
Dubbio tra dire e pensare,-0.028,0.8451,51,False
Alterazione della percezione del tempo,-0.342,0.014,51,True
"Tempo che accelera, rallenta o si ferma",-0.297,0.0343,51,True
Amnesia di azioni compiute,-0.173,0.2256,51,False
Disallineamento tra espressione e vissuto interno,-0.052,0.7167,51,False
Guardarsi dall'esterno,-0.015,0.9174,51,False
Guardarsi da fuori dal corpo,-0.079,0.5836,51,False
Età percepita alterata,-0.219,0.1226,51,False
Corpo percepito come cambiato,0.101,0.4799,51,False
Arti percepiti come non propri,0.051,0.7205,51,False
Perdita di controllo del corpo,0.041,0.7762,51,False
Controllo allo specchio,,,51,False
Sensazioni elettriche nel corpo,-0.226,0.1101,51,False
Sensazioni termiche senza causa,-0.312,0.0256,51,True
Dolore ai rumori,-0.28,0.0464,51,True
Gambe che si piegano da ferme,-0.221,0.1186,51,False
Incapacità di controllare il corpo,-0.22,0.1203,51,False
Impossibilità di muoversi,-0.028,0.8458,51,False
Debolezza improvvisa di un arto,-0.22,0.1212,51,False
Movimento percepito per imitazione,-0.13,0.3631,51,False
Osservatore passivo del mondo,-0.212,0.1349,51,False
Scomparsa della barriera tra sé e il mondo,-0.048,0.7365,51,False
Dubbio sulla propria esistenza,-0.099,0.4895,51,False
Mancanza di idee proprie,-0.116,0.417,51,False
Non far parte del mondo,-0.395,0.0042,51,True
Sentirsi come un fantasma,-0.245,0.0827,51,False
Evitamento per mancanza di opinioni,0.154,0.2808,51,False
