Variable,r,p_value,N,Significant
Pensieri generati da altri,0.105,0.5238,39,False
Parole lette da qualcun altro,0.15,0.3611,39,False
Pensieri non propri,0.203,0.2145,39,False
Pensieri come scritti,0.281,0.0833,39,False
Pensieri percepiti come rumorosi,0.268,0.0995,39,False
Pensieri ripetuti o echeggianti,0.108,0.5141,39,False
Vedere i propri pensieri,0.268,0.0995,39,False
Vita attuale scollegata dal futuro,0.045,0.7879,39,False
Perdita di identità,0.085,0.6071,39,False
Vera identità scomparsa,-0.08,0.6277,39,False
Perdita di contatto con se stessi,0.043,0.7959,39,False
Distanza da se stessi,0.105,0.5231,39,False
Perdita totale di sé,0.051,0.76,39,False
Ricerca di identità tramite oggetti,,,39,False
Vivere in un altro mondo,,,39,False
Paura di perdersi,-0.126,0.4448,39,False
Estraneità a se stessi,0.159,0.3338,39,False
Perdita di connessione col mondo,-0.147,0.372,39,False
Scarsa presenza nel mondo,-0.116,0.4821,39,False
Non essere più la stessa persona,0.139,0.3995,39,False
Vuoto interiore,0.007,0.9678,39,False
Pensare a se stessi come un'altra persona,0.083,0.6155,39,False
Disconnessione da sé e dai propri pensieri,0.109,0.5084,39,False
Svanire dall'esistenza,0.14,0.3958,39,False
Assorbimento nell'introspezione,-0.126,0.4448,39,False
Sensazione di non essere l'autore delle proprie azioni,0.117,0.4796,39,False
Sensazione di stare cambiando,0.139,0.3981,39,False
Appiattimento emotivo,-0.101,0.5395,39,False
Alterazione del significato del mondo,0.039,0.8123,39,False
Dubbio tra provare e immaginare,0.268,0.0995,39,False
Dubbio tra dire e pensare,0.09,0.5873,39,False
Alterazione della percezione del tempo,0.353,0.0274,39,True
"Tempo che accelera, rallenta o si ferma",-0.101,0.5395,39,False
Amnesia di azioni compiute,0.268,0.0995,39,False
Disallineamento tra espressione e vissuto interno,0.077,0.6422,39,False
Guardarsi dall'esterno,-0.047,0.7761,39,False
Guardarsi da fuori dal corpo,0.214,0.19,39,False
Età percepita alterata,0.133,0.4181,39,False
Corpo percepito come cambiato,0.089,0.5892,39,False
Arti percepiti come non propri,0.388,0.0145,39,True
Perdita di controllo del corpo,0.075,0.649,39,False
Controllo allo specchio,,,39,False
Sensazioni elettriche nel corpo,-0.008,0.9635,39,False
Sensazioni termiche senza causa,0.112,0.4956,39,False
Dolore ai rumori,-0.052,0.754,39,False
Gambe che si piegano da ferme,,,39,False
Incapacità di controllare il corpo,0.098,0.5512,39,False
Impossibilità di muoversi,,,39,False
Debolezza improvvisa di un arto,0.205,0.2095,39,False
Movimento percepito per imitazione,0.268,0.0995,39,False
Osservatore passivo del mondo,0.112,0.4956,39,False
Scomparsa della barriera tra sé e il mondo,0.195,0.2331,39,False
Dubbio sulla propria esistenza,-0.028,0.8648,39,False
Mancanza di idee proprie,,,39,False
Non far parte del mondo,-0.166,0.313,39,False
Sentirsi come un fantasma,0.268,0.0995,39,False
Evitamento per mancanza di opinioni,,,39,False
