Variable,r,p_value,N,Significant
Pensieri generati da altri,-0.109,0.305,90,False
Parole lette da qualcun altro,-0.17,0.1097,90,False
Pensieri non propri,-0.032,0.7666,90,False
Pensieri come scritti,-0.113,0.2892,90,False
Pensieri percepiti come rumorosi,-0.234,0.0264,90,True
Pensieri ripetuti o echeggianti,-0.109,0.3084,90,False
Vedere i propri pensieri,-0.186,0.0792,90,False
Vita attuale scollegata dal futuro,-0.214,0.0423,90,True
Perdita di identità,-0.09,0.3984,90,False
Vera identità scomparsa,-0.041,0.7006,90,False
Perdita di contatto con se stessi,-0.01,0.9246,90,False
Distanza da se stessi,0.11,0.3042,90,False
Perdita totale di sé,-0.162,0.1272,90,False
Ricerca di identità tramite oggetti,-0.134,0.2064,90,False
Vivere in un altro mondo,0.128,0.228,90,False
Paura di perdersi,-0.095,0.3726,90,False
Estraneità a se stessi,-0.026,0.8102,90,False
Perdita di connessione col mondo,-0.247,0.0191,90,True
Scarsa presenza nel mondo,-0.068,0.5253,90,False
Non essere più la stessa persona,-0.059,0.5834,90,False
Vuoto interiore,-0.057,0.5933,90,False
Pensare a se stessi come un'altra persona,-0.086,0.4207,90,False
Disconnessione da sé e dai propri pensieri,0.011,0.9166,90,False
Svanire dall'esistenza,-0.113,0.2898,90,False
Assorbimento nell'introspezione,-0.116,0.2743,90,False
Sensazione di non essere l'autore delle proprie azioni,-0.022,0.8355,90,False
Sensazione di stare cambiando,-0.075,0.4827,90,False
Appiattimento emotivo,-0.071,0.5068,90,False
Alterazione del significato del mondo,0.047,0.6571,90,False
Dubbio tra provare e immaginare,-0.157,0.1388,90,False
Dubbio tra dire e pensare,-0.129,0.2246,90,False
Alterazione della percezione del tempo,-0.218,0.0393,90,True
"Tempo che accelera, rallenta o si ferma",-0.248,0.0183,90,True
Amnesia di azioni compiute,-0.046,0.6673,90,False
Disallineamento tra espressione e vissuto interno,-0.005,0.9622,90,False
Guardarsi dall'esterno,-0.06,0.5712,90,False
Guardarsi da fuori dal corpo,-0.022,0.8346,90,False
Età percepita alterata,-0.099,0.3549,90,False
Corpo percepito come cambiato,0.047,0.6583,90,False
Arti percepiti come non propri,0.056,0.5981,90,False
Perdita di controllo del corpo,0.024,0.825,90,False
Controllo allo specchio,-0.048,0.6559,90,False
Sensazioni elettriche nel corpo,-0.116,0.277,90,False
Sensazioni termiche senza causa,-0.113,0.2908,90,False
Dolore ai rumori,-0.161,0.1303,90,False
Gambe che si piegano da ferme,-0.118,0.2673,90,False
Incapacità di controllare il corpo,-0.073,0.4946,90,False
Impossibilità di muoversi,-0.217,0.0404,90,True
Debolezza improvvisa di un arto,-0.276,0.0085,90,True
Movimento percepito per imitazione,-0.103,0.3341,90,False
Osservatore passivo del mondo,-0.208,0.0488,90,True
Scomparsa della barriera tra sé e il mondo,0.022,0.8371,90,False
Dubbio sulla propria esistenza,-0.033,0.754,90,False
Mancanza di idee proprie,-0.166,0.117,90,False
Non far parte del mondo,-0.229,0.0301,90,True
Sentirsi come un fantasma,-0.011,0.9144,90,False
Evitamento per mancanza di opinioni,-0.06,0.5726,90,False
