Variable,r,p_value,N,Significant
Pensieri generati da altri,-0.01,0.9503,39,False
Parole lette da qualcun altro,0.046,0.7814,39,False
Pensieri non propri,0.077,0.6394,39,False
Pensieri come scritti,0.154,0.3479,39,False
Pensieri percepiti come rumorosi,-0.065,0.6938,39,False
Pensieri ripetuti o echeggianti,-0.031,0.8528,39,False
Vedere i propri pensieri,-0.065,0.6938,39,False
Vita attuale scollegata dal futuro,0.131,0.4268,39,False
Perdita di identità,0.142,0.39,39,False
Vera identità scomparsa,0.089,0.5894,39,False
Perdita di contatto con se stessi,0.071,0.6672,39,False
Distanza da se stessi,0.114,0.4914,39,False
Perdita totale di sé,0.149,0.3666,39,False
Ricerca di identità tramite oggetti,,,39,False
Vivere in un altro mondo,,,39,False
Paura di perdersi,0.064,0.6974,39,False
Estraneità a se stessi,-0.072,0.662,39,False
Perdita di connessione col mondo,0.047,0.776,39,False
Scarsa presenza nel mondo,0.171,0.2974,39,False
Non essere più la stessa persona,-0.057,0.7282,39,False
Vuoto interiore,0.358,0.0252,39,True
Pensare a se stessi come un'altra persona,-0.181,0.2694,39,False
Disconnessione da sé e dai propri pensieri,0.116,0.4816,39,False
Svanire dall'esistenza,0.138,0.4028,39,False
Assorbimento nell'introspezione,0.024,0.8851,39,False
Sensazione di non essere l'autore delle proprie azioni,-0.229,0.1613,39,False
Sensazione di stare cambiando,-0.03,0.8556,39,False
Appiattimento emotivo,-0.116,0.483,39,False
Alterazione del significato del mondo,-0.147,0.3718,39,False
Dubbio tra provare e immaginare,-0.065,0.6938,39,False
Dubbio tra dire e pensare,0.203,0.2153,39,False
Alterazione della percezione del tempo,0.114,0.4906,39,False
"Tempo che accelera, rallenta o si ferma",-0.116,0.483,39,False
Amnesia di azioni compiute,-0.065,0.6938,39,False
Disallineamento tra espressione e vissuto interno,-0.029,0.8597,39,False
Guardarsi dall'esterno,-0.122,0.4583,39,False
Guardarsi da fuori dal corpo,0.064,0.7002,39,False
Età percepita alterata,-0.193,0.2395,39,False
Corpo percepito come cambiato,-0.113,0.4947,39,False
Arti percepiti come non propri,0.154,0.3502,39,False
Perdita di controllo del corpo,0.167,0.3094,39,False
Controllo allo specchio,,,39,False
Sensazioni elettriche nel corpo,0.042,0.8007,39,False
Sensazioni termiche senza causa,-0.13,0.4286,39,False
Dolore ai rumori,-0.01,0.9501,39,False
Gambe che si piegano da ferme,,,39,False
Incapacità di controllare il corpo,0.116,0.4837,39,False
Impossibilità di muoversi,,,39,False
Debolezza improvvisa di un arto,-0.002,0.9916,39,False
Movimento percepito per imitazione,-0.065,0.6938,39,False
Osservatore passivo del mondo,-0.13,0.4286,39,False
Scomparsa della barriera tra sé e il mondo,0.153,0.3538,39,False
Dubbio sulla propria esistenza,0.036,0.8271,39,False
Mancanza di idee proprie,,,39,False
Non far parte del mondo,-0.025,0.8784,39,False
Sentirsi come un fantasma,-0.065,0.6938,39,False
Evitamento per mancanza di opinioni,,,39,False
