Variable,r,p_value,N,Significant
Pensieri generati da altri,-0.008,0.9383,90,False
Parole lette da qualcun altro,-0.027,0.7981,90,False
Pensieri non propri,0.007,0.9488,90,False
Pensieri come scritti,-0.04,0.7106,90,False
Pensieri percepiti come rumorosi,-0.077,0.4723,90,False
Pensieri ripetuti o echeggianti,-0.034,0.7508,90,False
Vedere i propri pensieri,-0.153,0.1513,90,False
Vita attuale scollegata dal futuro,0.049,0.6438,90,False
Perdita di identità,0.107,0.3166,90,False
Vera identità scomparsa,-0.017,0.8772,90,False
Perdita di contatto con se stessi,0.079,0.4607,90,False
Distanza da se stessi,0.057,0.5921,90,False
Perdita totale di sé,-0.036,0.7361,90,False
Ricerca di identità tramite oggetti,0.001,0.9891,90,False
Vivere in un altro mondo,0.119,0.2646,90,False
Paura di perdersi,-0.049,0.6474,90,False
Estraneità a se stessi,0.032,0.7654,90,False
Perdita di connessione col mondo,0.027,0.802,90,False
Scarsa presenza nel mondo,0.223,0.0346,90,True
Non essere più la stessa persona,-0.013,0.9024,90,False
Vuoto interiore,0.109,0.3049,90,False
Pensare a se stessi come un'altra persona,-0.082,0.4425,90,False
Disconnessione da sé e dai propri pensieri,0.128,0.2296,90,False
Svanire dall'esistenza,0.012,0.9085,90,False
Assorbimento nell'introspezione,0.03,0.7812,90,False
Sensazione di non essere l'autore delle proprie azioni,-0.091,0.395,90,False
Sensazione di stare cambiando,-0.034,0.753,90,False
Appiattimento emotivo,0.075,0.4845,90,False
Alterazione del significato del mondo,0.028,0.7961,90,False
Dubbio tra provare e immaginare,0.038,0.7235,90,False
Dubbio tra dire e pensare,0.053,0.6194,90,False
Alterazione della percezione del tempo,-0.026,0.8055,90,False
"Tempo che accelera, rallenta o si ferma",-0.017,0.8735,90,False
Amnesia di azioni compiute,-0.048,0.653,90,False
Disallineamento tra espressione e vissuto interno,-0.014,0.8981,90,False
Guardarsi dall'esterno,-0.151,0.1546,90,False
Guardarsi da fuori dal corpo,0.018,0.8693,90,False
Età percepita alterata,0.06,0.5763,90,False
Corpo percepito come cambiato,0.078,0.4643,90,False
Arti percepiti come non propri,-0.035,0.7433,90,False
Perdita di controllo del corpo,0.011,0.9217,90,False
Controllo allo specchio,-0.058,0.5867,90,False
Sensazioni elettriche nel corpo,-0.148,0.1627,90,False
Sensazioni termiche senza causa,0.078,0.4635,90,False
Dolore ai rumori,-0.077,0.4734,90,False
Gambe che si piegano da ferme,-0.008,0.9413,90,False
Incapacità di controllare il corpo,-0.065,0.5421,90,False
Impossibilità di muoversi,-0.088,0.407,90,False
Debolezza improvvisa di un arto,-0.065,0.5416,90,False
Movimento percepito per imitazione,0.061,0.5667,90,False
Osservatore passivo del mondo,-0.005,0.9641,90,False
Scomparsa della barriera tra sé e il mondo,-0.013,0.9046,90,False
Dubbio sulla propria esistenza,-0.021,0.8436,90,False
Mancanza di idee proprie,-0.085,0.4282,90,False
Non far parte del mondo,0.035,0.7424,90,False
Sentirsi come un fantasma,0.059,0.5819,90,False
Evitamento per mancanza di opinioni,-0.063,0.5558,90,False
