Variable,r,p_value,N,Significant
Pensieri generati da altri,0.003,0.9792,88,False
Parole lette da qualcun altro,-0.036,0.7415,88,False
Pensieri non propri,0.038,0.7239,88,False
Pensieri come scritti,0.009,0.9313,88,False
Pensieri percepiti come rumorosi,-0.221,0.0384,88,True
Pensieri ripetuti o echeggianti,0.117,0.2765,88,False
Vedere i propri pensieri,-0.09,0.4028,88,False
Vita attuale scollegata dal futuro,0.138,0.2014,88,False
Perdita di identità,-0.048,0.654,88,False
Vera identità scomparsa,0.063,0.5616,88,False
Perdita di contatto con se stessi,0.006,0.9589,88,False
Distanza da se stessi,0.04,0.7128,88,False
Perdita totale di sé,-0.191,0.074,88,False
Ricerca di identità tramite oggetti,0.086,0.4269,88,False
Vivere in un altro mondo,,,88,False
Paura di perdersi,-0.061,0.57,88,False
Estraneità a se stessi,-0.069,0.5207,88,False
Perdita di connessione col mondo,-0.142,0.1868,88,False
Scarsa presenza nel mondo,-0.094,0.3823,88,False
Non essere più la stessa persona,0.042,0.6966,88,False
Vuoto interiore,-0.128,0.2349,88,False
Pensare a se stessi come un'altra persona,-0.073,0.4997,88,False
Disconnessione da sé e dai propri pensieri,0.078,0.4702,88,False
Svanire dall'esistenza,-0.232,0.0293,88,True
Assorbimento nell'introspezione,-0.231,0.0303,88,True
Sensazione di non essere l'autore delle proprie azioni,-0.065,0.5481,88,False
Sensazione di stare cambiando,-0.031,0.7757,88,False
Appiattimento emotivo,-0.156,0.1458,88,False
Alterazione del significato del mondo,-0.143,0.1837,88,False
Dubbio tra provare e immaginare,-0.009,0.9316,88,False
Dubbio tra dire e pensare,0.081,0.4542,88,False
Alterazione della percezione del tempo,-0.114,0.2911,88,False
"Tempo che accelera, rallenta o si ferma",-0.13,0.2274,88,False
Amnesia di azioni compiute,-0.123,0.2526,88,False
Disallineamento tra espressione e vissuto interno,-0.067,0.5367,88,False
Guardarsi dall'esterno,-0.119,0.2675,88,False
Guardarsi da fuori dal corpo,-0.058,0.5922,88,False
Età percepita alterata,-0.116,0.2807,88,False
Corpo percepito come cambiato,0.021,0.8468,88,False
Arti percepiti come non propri,0.173,0.1071,88,False
Perdita di controllo del corpo,0.034,0.7524,88,False
Controllo allo specchio,,,88,False
Sensazioni elettriche nel corpo,-0.221,0.0389,88,True
Sensazioni termiche senza causa,-0.118,0.273,88,False
Dolore ai rumori,-0.173,0.1077,88,False
Gambe che si piegano da ferme,-0.15,0.1624,88,False
Incapacità di controllare il corpo,-0.17,0.1129,88,False
Impossibilità di muoversi,-0.016,0.8834,88,False
Debolezza improvvisa di un arto,-0.133,0.217,88,False
Movimento percepito per imitazione,-0.03,0.7787,88,False
Osservatore passivo del mondo,-0.029,0.7892,88,False
Scomparsa della barriera tra sé e il mondo,-0.092,0.3916,88,False
Dubbio sulla propria esistenza,0.009,0.9346,88,False
Mancanza di idee proprie,0.002,0.988,88,False
Non far parte del mondo,-0.278,0.0087,88,True
Sentirsi come un fantasma,-0.059,0.5876,88,False
Evitamento per mancanza di opinioni,0.097,0.367,88,False
