Variable,r,p_value,N,Significant
Pensieri generati da altri,0.028,0.8438,51,False
Parole lette da qualcun altro,-0.183,0.1982,51,False
Pensieri non propri,-0.018,0.8992,51,False
Pensieri come scritti,-0.073,0.6084,51,False
Pensieri percepiti come rumorosi,-0.429,0.0017,51,True
Pensieri ripetuti o echeggianti,0.095,0.509,51,False
Vedere i propri pensieri,-0.268,0.0576,51,False
Vita attuale scollegata dal futuro,0.109,0.4479,51,False
Perdita di identità,-0.158,0.2667,51,False
Vera identità scomparsa,0.068,0.6338,51,False
Perdita di contatto con se stessi,0.002,0.9907,51,False
Distanza da se stessi,0.03,0.8334,51,False
Perdita totale di sé,-0.32,0.022,51,True
Ricerca di identità tramite oggetti,0.062,0.6661,51,False
Vivere in un altro mondo,,,51,False
Paura di perdersi,-0.14,0.3255,51,False
Estraneità a se stessi,-0.129,0.3677,51,False
Perdita di connessione col mondo,-0.207,0.145,51,False
Scarsa presenza nel mondo,-0.128,0.37,51,False
Non essere più la stessa persona,-0.015,0.9144,51,False
Vuoto interiore,-0.237,0.0945,51,False
Pensare a se stessi come un'altra persona,-0.157,0.2698,51,False
Disconnessione da sé e dai propri pensieri,0.087,0.5452,51,False
Svanire dall'esistenza,-0.329,0.0186,51,True
Assorbimento nell'introspezione,-0.337,0.0155,51,True
Sensazione di non essere l'autore delle proprie azioni,-0.107,0.4537,51,False
Sensazione di stare cambiando,-0.16,0.2622,51,False
Appiattimento emotivo,-0.154,0.2819,51,False
Alterazione del significato del mondo,-0.147,0.3049,51,False
Dubbio tra provare e immaginare,-0.088,0.5376,51,False
Dubbio tra dire e pensare,-0.072,0.6146,51,False
Alterazione della percezione del tempo,-0.296,0.0351,51,True
"Tempo che accelera, rallenta o si ferma",-0.254,0.0726,51,False
Amnesia di azioni compiute,-0.236,0.0953,51,False
Disallineamento tra espressione e vissuto interno,-0.082,0.5668,51,False
Guardarsi dall'esterno,-0.118,0.4094,51,False
Guardarsi da fuori dal corpo,-0.138,0.3343,51,False
Età percepita alterata,-0.302,0.0311,51,True
Corpo percepito come cambiato,-0.046,0.7487,51,False
Arti percepiti come non propri,0.011,0.9395,51,False
Perdita di controllo del corpo,-0.032,0.821,51,False
Controllo allo specchio,,,51,False
Sensazioni elettriche nel corpo,-0.278,0.0479,51,True
Sensazioni termiche senza causa,-0.134,0.3496,51,False
Dolore ai rumori,-0.242,0.0875,51,False
Gambe che si piegano da ferme,-0.188,0.1871,51,False
Incapacità di controllare il corpo,-0.344,0.0133,51,True
Impossibilità di muoversi,-0.095,0.5063,51,False
Debolezza improvvisa di un arto,-0.275,0.0505,51,False
Movimento percepito per imitazione,-0.097,0.4981,51,False
Osservatore passivo del mondo,-0.11,0.4442,51,False
Scomparsa della barriera tra sé e il mondo,-0.225,0.1119,51,False
Dubbio sulla propria esistenza,-0.05,0.7263,51,False
Mancanza di idee proprie,-0.075,0.5992,51,False
Non far parte del mondo,-0.381,0.0057,51,True
Sentirsi come un fantasma,-0.157,0.2718,51,False
Evitamento per mancanza di opinioni,0.101,0.4803,51,False
