Variable,r,p_value,N,Significant
Pensieri generati da altri,0.001,0.996,51,False
Parole lette da qualcun altro,-0.174,0.2212,51,False
Pensieri non propri,0.004,0.9761,51,False
Pensieri come scritti,-0.081,0.573,51,False
Pensieri percepiti come rumorosi,-0.291,0.0384,51,True
Pensieri ripetuti o echeggianti,0.113,0.4284,51,False
Vedere i propri pensieri,-0.263,0.0623,51,False
Vita attuale scollegata dal futuro,0.074,0.6076,51,False
Perdita di identità,-0.035,0.8064,51,False
Vera identità scomparsa,0.028,0.845,51,False
Perdita di contatto con se stessi,-0.096,0.5042,51,False
Distanza da se stessi,-0.011,0.9363,51,False
Perdita totale di sé,-0.192,0.1766,51,False
Ricerca di identità tramite oggetti,-0.209,0.1416,51,False
Vivere in un altro mondo,0.014,0.9245,51,False
Paura di perdersi,-0.146,0.307,51,False
Estraneità a se stessi,-0.1,0.4838,51,False
Perdita di connessione col mondo,-0.189,0.1838,51,False
Scarsa presenza nel mondo,-0.09,0.5312,51,False
Non essere più la stessa persona,-0.024,0.8686,51,False
Vuoto interiore,-0.09,0.5289,51,False
Pensare a se stessi come un'altra persona,-0.092,0.5223,51,False
Disconnessione da sé e dai propri pensieri,0.109,0.446,51,False
Svanire dall'esistenza,-0.19,0.1828,51,False
Assorbimento nell'introspezione,-0.334,0.0166,51,True
Sensazione di non essere l'autore delle proprie azioni,-0.104,0.467,51,False
Sensazione di stare cambiando,-0.13,0.3643,51,False
Appiattimento emotivo,-0.047,0.7431,51,False
Alterazione del significato del mondo,0.043,0.7634,51,False
Dubbio tra provare e immaginare,-0.023,0.87,51,False
Dubbio tra dire e pensare,-0.128,0.3719,51,False
Alterazione della percezione del tempo,-0.205,0.1481,51,False
"Tempo che accelera, rallenta o si ferma",-0.245,0.0836,51,False
Amnesia di azioni compiute,-0.05,0.7253,51,False
Disallineamento tra espressione e vissuto interno,-0.109,0.4458,51,False
Guardarsi dall'esterno,-0.267,0.058,51,False
Guardarsi da fuori dal corpo,-0.075,0.6021,51,False
Età percepita alterata,-0.114,0.4272,51,False
Corpo percepito come cambiato,-0.008,0.9552,51,False
Arti percepiti come non propri,-0.116,0.4175,51,False
Perdita di controllo del corpo,-0.063,0.6604,51,False
Controllo allo specchio,-0.231,0.1033,51,False
Sensazioni elettriche nel corpo,-0.187,0.1899,51,False
Sensazioni termiche senza causa,-0.024,0.8688,51,False
Dolore ai rumori,-0.195,0.1714,51,False
Gambe che si piegano da ferme,-0.154,0.282,51,False
Incapacità di controllare il corpo,-0.204,0.1514,51,False
Impossibilità di muoversi,-0.361,0.0093,51,True
Debolezza improvvisa di un arto,-0.251,0.0759,51,False
Movimento percepito per imitazione,-0.161,0.2601,51,False
Osservatore passivo del mondo,-0.189,0.185,51,False
Scomparsa della barriera tra sé e il mondo,-0.06,0.6768,51,False
Dubbio sulla propria esistenza,-0.09,0.5293,51,False
Mancanza di idee proprie,-0.263,0.0621,51,False
Non far parte del mondo,-0.313,0.0255,51,True
Sentirsi come un fantasma,-0.241,0.0884,51,False
Evitamento per mancanza di opinioni,-0.122,0.3952,51,False
