Variable,r,p_value,N,Significant
Pensieri generati da altri,-0.046,0.7865,37,False
Parole lette da qualcun altro,-0.19,0.2589,37,False
Pensieri non propri,0.033,0.8476,37,False
Pensieri come scritti,-0.133,0.4326,37,False
Pensieri percepiti come rumorosi,0.022,0.8979,37,False
Pensieri ripetuti o echeggianti,-0.092,0.5864,37,False
Vedere i propri pensieri,-0.258,0.1231,37,False
Vita attuale scollegata dal futuro,-0.096,0.5739,37,False
Perdita di identità,0.1,0.5552,37,False
Vera identità scomparsa,-0.082,0.6289,37,False
Perdita di contatto con se stessi,0.009,0.9597,37,False
Distanza da se stessi,0.004,0.9799,37,False
Perdita totale di sé,-0.099,0.5586,37,False
Ricerca di identità tramite oggetti,-0.086,0.6114,37,False
Vivere in un altro mondo,-0.039,0.8204,37,False
Paura di perdersi,-0.023,0.8923,37,False
Estraneità a se stessi,-0.01,0.953,37,False
Perdita di connessione col mondo,-0.077,0.65,37,False
Scarsa presenza nel mondo,0.002,0.9899,37,False
Non essere più la stessa persona,-0.039,0.8185,37,False
Vuoto interiore,-0.005,0.9776,37,False
Pensare a se stessi come un'altra persona,0.045,0.7903,37,False
Disconnessione da sé e dai propri pensieri,0.074,0.6653,37,False
Svanire dall'esistenza,0.003,0.9866,37,False
Assorbimento nell'introspezione,-0.072,0.6725,37,False
Sensazione di non essere l'autore delle proprie azioni,0.1,0.5567,37,False
Sensazione di stare cambiando,-0.045,0.7924,37,False
Appiattimento emotivo,-0.114,0.5016,37,False
Alterazione del significato del mondo,-0.036,0.8311,37,False
Dubbio tra provare e immaginare,-0.032,0.8525,37,False
Dubbio tra dire e pensare,0.08,0.6384,37,False
Alterazione della percezione del tempo,-0.063,0.7124,37,False
"Tempo che accelera, rallenta o si ferma",-0.048,0.7784,37,False
Amnesia di azioni compiute,0.05,0.7703,37,False
Disallineamento tra espressione e vissuto interno,0.008,0.9614,37,False
Guardarsi dall'esterno,-0.203,0.2288,37,False
Guardarsi da fuori dal corpo,0.021,0.9001,37,False
Età percepita alterata,0.077,0.65,37,False
Corpo percepito come cambiato,0.011,0.9463,37,False
Arti percepiti come non propri,0.219,0.1929,37,False
Perdita di controllo del corpo,0.051,0.7628,37,False
Controllo allo specchio,0.135,0.424,37,False
Sensazioni elettriche nel corpo,-0.173,0.3062,37,False
Sensazioni termiche senza causa,-0.184,0.2766,37,False
Dolore ai rumori,-0.073,0.6684,37,False
Gambe che si piegano da ferme,0.048,0.7757,37,False
Incapacità di controllare il corpo,-0.035,0.8366,37,False
Impossibilità di muoversi,-0.02,0.9055,37,False
Debolezza improvvisa di un arto,-0.112,0.5075,37,False
Movimento percepito per imitazione,0.087,0.607,37,False
Osservatore passivo del mondo,-0.141,0.4039,37,False
Scomparsa della barriera tra sé e il mondo,-0.097,0.5671,37,False
Dubbio sulla propria esistenza,-0.033,0.8459,37,False
Mancanza di idee proprie,-0.016,0.927,37,False
Non far parte del mondo,-0.061,0.7214,37,False
Sentirsi come un fantasma,0.088,0.6026,37,False
Evitamento per mancanza di opinioni,0.016,0.9242,37,False
