Variable,r,p_value,N,Significant
Pensieri generati da altri,0.022,0.8374,88,False
Parole lette da qualcun altro,-0.096,0.3756,88,False
Pensieri non propri,0.052,0.6286,88,False
Pensieri come scritti,-0.02,0.853,88,False
Pensieri percepiti come rumorosi,-0.011,0.9225,88,False
Pensieri ripetuti o echeggianti,0.127,0.2394,88,False
Vedere i propri pensieri,-0.169,0.1163,88,False
Vita attuale scollegata dal futuro,0.116,0.2823,88,False
Perdita di identità,0.045,0.6755,88,False
Vera identità scomparsa,0.023,0.8291,88,False
Perdita di contatto con se stessi,-0.022,0.8419,88,False
Distanza da se stessi,-0.002,0.9845,88,False
Perdita totale di sé,-0.129,0.2322,88,False
Ricerca di identità tramite oggetti,-0.033,0.7568,88,False
Vivere in un altro mondo,-0.007,0.9448,88,False
Paura di perdersi,-0.052,0.6273,88,False
Estraneità a se stessi,-0.057,0.5956,88,False
Perdita di connessione col mondo,-0.092,0.3944,88,False
Scarsa presenza nel mondo,-0.026,0.8076,88,False
Non essere più la stessa persona,0.008,0.9414,88,False
Vuoto interiore,-0.057,0.596,88,False
Pensare a se stessi come un'altra persona,0.006,0.9571,88,False
Disconnessione da sé e dai propri pensieri,0.137,0.2026,88,False
Svanire dall'esistenza,-0.093,0.3907,88,False
Assorbimento nell'introspezione,-0.18,0.094,88,False
Sensazione di non essere l'autore delle proprie azioni,0.001,0.9908,88,False
Sensazione di stare cambiando,-0.02,0.8548,88,False
Appiattimento emotivo,-0.001,0.9903,88,False
Alterazione del significato del mondo,0.027,0.806,88,False
Dubbio tra provare e immaginare,0.058,0.5908,88,False
Dubbio tra dire e pensare,0.085,0.4318,88,False
Alterazione della percezione del tempo,-0.035,0.7464,88,False
"Tempo che accelera, rallenta o si ferma",-0.018,0.8693,88,False
Amnesia di azioni compiute,0.039,0.7167,88,False
Disallineamento tra espressione e vissuto interno,-0.109,0.312,88,False
Guardarsi dall'esterno,-0.232,0.0298,88,True
Guardarsi da fuori dal corpo,-0.016,0.8834,88,False
Età percepita alterata,-0.004,0.9685,88,False
Corpo percepito come cambiato,0.06,0.576,88,False
Arti percepiti come non propri,0.019,0.8614,88,False
Perdita di controllo del corpo,0.034,0.7498,88,False
Controllo allo specchio,0.007,0.9514,88,False
Sensazioni elettriche nel corpo,-0.213,0.0463,88,True
Sensazioni termiche senza causa,-0.016,0.8844,88,False
Dolore ai rumori,-0.052,0.6319,88,False
Gambe che si piegano da ferme,-0.012,0.908,88,False
Incapacità di controllare il corpo,-0.05,0.6443,88,False
Impossibilità di muoversi,-0.082,0.4497,88,False
Debolezza improvvisa di un arto,-0.089,0.4108,88,False
Movimento percepito per imitazione,0.008,0.9404,88,False
Osservatore passivo del mondo,-0.094,0.3851,88,False
Scomparsa della barriera tra sé e il mondo,-0.031,0.7773,88,False
Dubbio sulla propria esistenza,-0.006,0.955,88,False
Mancanza di idee proprie,-0.047,0.6667,88,False
Non far parte del mondo,-0.168,0.1166,88,False
Sentirsi come un fantasma,-0.104,0.3364,88,False
Evitamento per mancanza di opinioni,0.004,0.9701,88,False
