Variable,r,p_value,N,Significant
Pensieri generati da altri,-0.137,0.1974,90,False
Parole lette da qualcun altro,-0.118,0.269,90,False
Pensieri non propri,-0.221,0.0363,90,True
Pensieri come scritti,-0.078,0.4639,90,False
Pensieri percepiti come rumorosi,-0.396,0.0001,90,True
Pensieri ripetuti o echeggianti,-0.126,0.2364,90,False
Vedere i propri pensieri,-0.301,0.0039,90,True
Vita attuale scollegata dal futuro,-0.212,0.0452,90,True
Perdita di identità,-0.235,0.026,90,True
Vera identità scomparsa,-0.172,0.1044,90,False
Perdita di contatto con se stessi,0.04,0.708,90,False
Distanza da se stessi,-0.044,0.6796,90,False
Perdita totale di sé,-0.237,0.0242,90,True
Ricerca di identità tramite oggetti,-0.093,0.3837,90,False
Vivere in un altro mondo,,,90,False
Paura di perdersi,-0.17,0.1087,90,False
Estraneità a se stessi,-0.204,0.0537,90,False
Perdita di connessione col mondo,-0.149,0.1621,90,False
Scarsa presenza nel mondo,0.005,0.9632,90,False
Non essere più la stessa persona,-0.107,0.3161,90,False
Vuoto interiore,-0.209,0.0477,90,True
Pensare a se stessi come un'altra persona,-0.275,0.0087,90,True
Disconnessione da sé e dai propri pensieri,0.108,0.309,90,False
Svanire dall'esistenza,-0.113,0.2891,90,False
Assorbimento nell'introspezione,-0.254,0.0159,90,True
Sensazione di non essere l'autore delle proprie azioni,-0.2,0.0585,90,False
Sensazione di stare cambiando,-0.3,0.0041,90,True
Appiattimento emotivo,-0.19,0.0734,90,False
Alterazione del significato del mondo,-0.051,0.634,90,False
Dubbio tra provare e immaginare,-0.154,0.1468,90,False
Dubbio tra dire e pensare,-0.258,0.0141,90,True
Alterazione della percezione del tempo,-0.317,0.0024,90,True
"Tempo che accelera, rallenta o si ferma",-0.366,0.0004,90,True
Amnesia di azioni compiute,-0.356,0.0006,90,True
Disallineamento tra espressione e vissuto interno,0.013,0.9015,90,False
Guardarsi dall'esterno,-0.158,0.1376,90,False
Guardarsi da fuori dal corpo,-0.085,0.428,90,False
Età percepita alterata,-0.285,0.0064,90,True
Corpo percepito come cambiato,-0.146,0.1703,90,False
Arti percepiti come non propri,-0.022,0.8405,90,False
Perdita di controllo del corpo,-0.023,0.8272,90,False
Controllo allo specchio,,,90,False
Sensazioni elettriche nel corpo,-0.145,0.1725,90,False
Sensazioni termiche senza causa,-0.082,0.4437,90,False
Dolore ai rumori,-0.34,0.001,90,True
Gambe che si piegano da ferme,-0.137,0.1985,90,False
Incapacità di controllare il corpo,-0.311,0.0029,90,True
Impossibilità di muoversi,-0.118,0.2685,90,False
Debolezza improvvisa di un arto,-0.307,0.0032,90,True
Movimento percepito per imitazione,-0.127,0.2343,90,False
Osservatore passivo del mondo,-0.264,0.0118,90,True
Scomparsa della barriera tra sé e il mondo,-0.124,0.246,90,False
Dubbio sulla propria esistenza,-0.289,0.0058,90,True
Mancanza di idee proprie,-0.168,0.1126,90,False
Non far parte del mondo,-0.191,0.072,90,False
Sentirsi come un fantasma,-0.104,0.3286,90,False
Evitamento per mancanza di opinioni,0.125,0.2421,90,False
