Variable,r,p_value,N,Significant
Pensieri generati da altri,0.14,0.3951,39,False
Parole lette da qualcun altro,0.327,0.0422,39,True
Pensieri non propri,0.096,0.5626,39,False
Pensieri come scritti,0.252,0.1213,39,False
Pensieri percepiti come rumorosi,0.224,0.1707,39,False
Pensieri ripetuti o echeggianti,0.143,0.3843,39,False
Vedere i propri pensieri,0.224,0.1707,39,False
Vita attuale scollegata dal futuro,0.006,0.9727,39,False
Perdita di identità,-0.056,0.7343,39,False
Vera identità scomparsa,-0.066,0.6884,39,False
Perdita di contatto con se stessi,0.14,0.3955,39,False
Distanza da se stessi,-0.036,0.8289,39,False
Perdita totale di sé,-0.003,0.9836,39,False
Ricerca di identità tramite oggetti,,,39,False
Vivere in un altro mondo,,,39,False
Paura di perdersi,-0.114,0.4882,39,False
Estraneità a se stessi,-0.055,0.7415,39,False
Perdita di connessione col mondo,-0.05,0.761,39,False
Scarsa presenza nel mondo,-0.056,0.7342,39,False
Non essere più la stessa persona,-0.071,0.6695,39,False
Vuoto interiore,-0.102,0.5383,39,False
Pensare a se stessi come un'altra persona,-0.046,0.7818,39,False
Disconnessione da sé e dai propri pensieri,0.073,0.6599,39,False
Svanire dall'esistenza,0.169,0.3039,39,False
Assorbimento nell'introspezione,-0.175,0.2871,39,False
Sensazione di non essere l'autore delle proprie azioni,-0.048,0.7728,39,False
Sensazione di stare cambiando,0.244,0.1347,39,False
Appiattimento emotivo,-0.26,0.1099,39,False
Alterazione del significato del mondo,0.116,0.4828,39,False
Dubbio tra provare e immaginare,0.224,0.1707,39,False
Dubbio tra dire e pensare,0.017,0.919,39,False
Alterazione della percezione del tempo,0.245,0.1325,39,False
"Tempo che accelera, rallenta o si ferma",-0.26,0.1099,39,False
Amnesia di azioni compiute,0.224,0.1707,39,False
Disallineamento tra espressione e vissuto interno,-0.032,0.8457,39,False
Guardarsi dall'esterno,0.018,0.912,39,False
Guardarsi da fuori dal corpo,0.234,0.1509,39,False
Età percepita alterata,-0.085,0.6053,39,False
Corpo percepito come cambiato,0.035,0.8327,39,False
Arti percepiti come non propri,0.505,0.0011,39,True
Perdita di controllo del corpo,0.116,0.4818,39,False
Controllo allo specchio,,,39,False
Sensazioni elettriche nel corpo,-0.127,0.4396,39,False
Sensazioni termiche senza causa,-0.035,0.8336,39,False
Dolore ai rumori,-0.331,0.0394,39,True
Gambe che si piegano da ferme,,,39,False
Incapacità di controllare il corpo,0.073,0.6588,39,False
Impossibilità di muoversi,,,39,False
Debolezza improvvisa di un arto,0.104,0.5286,39,False
Movimento percepito per imitazione,0.224,0.1707,39,False
Osservatore passivo del mondo,-0.035,0.8336,39,False
Scomparsa della barriera tra sé e il mondo,0.005,0.9778,39,False
Dubbio sulla propria esistenza,-0.351,0.0283,39,True
Mancanza di idee proprie,,,39,False
Non far parte del mondo,-0.151,0.3593,39,False
Sentirsi come un fantasma,0.224,0.1707,39,False
Evitamento per mancanza di opinioni,,,39,False
