Variable,r,p_value,N,Significant
Pensieri generati da altri,0.171,0.2974,39,False
Parole lette da qualcun altro,0.048,0.7732,39,False
Pensieri non propri,0.025,0.8777,39,False
Pensieri come scritti,0.08,0.6299,39,False
Pensieri percepiti come rumorosi,0.072,0.6626,39,False
Pensieri ripetuti o echeggianti,0.177,0.2822,39,False
Vedere i propri pensieri,-0.065,0.6933,39,False
Vita attuale scollegata dal futuro,0.017,0.9185,39,False
Perdita di identità,0.037,0.8234,39,False
Vera identità scomparsa,-0.181,0.2689,39,False
Perdita di contatto con se stessi,0.108,0.5132,39,False
Distanza da se stessi,-0.058,0.7267,39,False
Perdita totale di sé,-0.052,0.7517,39,False
Ricerca di identità tramite oggetti,0.194,0.2366,39,False
Vivere in un altro mondo,-0.03,0.8567,39,False
Paura di perdersi,0.145,0.378,39,False
Estraneità a se stessi,0.001,0.9941,39,False
Perdita di connessione col mondo,0.049,0.7648,39,False
Scarsa presenza nel mondo,-0.063,0.7019,39,False
Non essere più la stessa persona,-0.163,0.3212,39,False
Vuoto interiore,-0.137,0.4052,39,False
Pensare a se stessi come un'altra persona,0.024,0.8869,39,False
Disconnessione da sé e dai propri pensieri,0.168,0.3067,39,False
Svanire dall'esistenza,0.124,0.4522,39,False
Assorbimento nell'introspezione,0.037,0.8234,39,False
Sensazione di non essere l'autore delle proprie azioni,-0.04,0.8101,39,False
Sensazione di stare cambiando,0.092,0.5767,39,False
Appiattimento emotivo,-0.013,0.9394,39,False
Alterazione del significato del mondo,0.172,0.2953,39,False
Dubbio tra provare e immaginare,0.269,0.0975,39,False
Dubbio tra dire e pensare,0.089,0.5898,39,False
Alterazione della percezione del tempo,0.171,0.2972,39,False
"Tempo che accelera, rallenta o si ferma",0.07,0.6711,39,False
Amnesia di azioni compiute,-0.0,0.9985,39,False
Disallineamento tra espressione e vissuto interno,0.025,0.8792,39,False
Guardarsi dall'esterno,0.058,0.7257,39,False
Guardarsi da fuori dal corpo,0.107,0.5164,39,False
Età percepita alterata,0.025,0.8787,39,False
Corpo percepito come cambiato,-0.013,0.9389,39,False
Arti percepiti come non propri,0.134,0.4172,39,False
Perdita di controllo del corpo,0.141,0.3923,39,False
Controllo allo specchio,0.199,0.2239,39,False
Sensazioni elettriche nel corpo,-0.109,0.5076,39,False
Sensazioni termiche senza causa,0.048,0.7704,39,False
Dolore ai rumori,-0.051,0.7587,39,False
Gambe che si piegano da ferme,0.195,0.2351,39,False
Incapacità di controllare il corpo,-0.003,0.9868,39,False
Impossibilità di muoversi,0.049,0.7683,39,False
Debolezza improvvisa di un arto,0.215,0.1882,39,False
Movimento percepito per imitazione,0.069,0.6752,39,False
Osservatore passivo del mondo,0.026,0.8741,39,False
Scomparsa della barriera tra sé e il mondo,0.028,0.8652,39,False
Dubbio sulla propria esistenza,-0.199,0.2253,39,False
Mancanza di idee proprie,0.019,0.9099,39,False
Non far parte del mondo,-0.142,0.3875,39,False
Sentirsi come un fantasma,0.268,0.0996,39,False
Evitamento per mancanza di opinioni,0.065,0.6934,39,False
