Variable,r,p_value,N,Significant
Pensieri generati da altri,-0.128,0.2289,90,False
Parole lette da qualcun altro,-0.203,0.0549,90,False
Pensieri non propri,-0.203,0.055,90,False
Pensieri come scritti,-0.12,0.2583,90,False
Pensieri percepiti come rumorosi,-0.316,0.0024,90,True
Pensieri ripetuti o echeggianti,-0.103,0.333,90,False
Vedere i propri pensieri,-0.28,0.0076,90,True
Vita attuale scollegata dal futuro,-0.199,0.0602,90,False
Perdita di identità,-0.08,0.4529,90,False
Vera identità scomparsa,-0.214,0.0428,90,True
Perdita di contatto con se stessi,-0.025,0.8161,90,False
Distanza da se stessi,0.033,0.7589,90,False
Perdita totale di sé,-0.179,0.0914,90,False
Ricerca di identità tramite oggetti,-0.21,0.0475,90,True
Vivere in un altro mondo,0.024,0.8244,90,False
Paura di perdersi,-0.093,0.3845,90,False
Estraneità a se stessi,-0.052,0.6272,90,False
Perdita di connessione col mondo,-0.088,0.4111,90,False
Scarsa presenza nel mondo,-0.029,0.7889,90,False
Non essere più la stessa persona,-0.135,0.204,90,False
Vuoto interiore,-0.125,0.2417,90,False
Pensare a se stessi come un'altra persona,-0.256,0.0147,90,True
Disconnessione da sé e dai propri pensieri,0.173,0.1038,90,False
Svanire dall'esistenza,-0.07,0.51,90,False
Assorbimento nell'introspezione,-0.244,0.0203,90,True
Sensazione di non essere l'autore delle proprie azioni,-0.191,0.0719,90,False
Sensazione di stare cambiando,-0.192,0.0692,90,False
Appiattimento emotivo,-0.158,0.1358,90,False
Alterazione del significato del mondo,0.025,0.8175,90,False
Dubbio tra provare e immaginare,-0.107,0.3152,90,False
Dubbio tra dire e pensare,-0.249,0.0179,90,True
Alterazione della percezione del tempo,-0.284,0.0066,90,True
"Tempo che accelera, rallenta o si ferma",-0.251,0.0168,90,True
Amnesia di azioni compiute,-0.32,0.0021,90,True
Disallineamento tra espressione e vissuto interno,-0.031,0.7731,90,False
Guardarsi dall'esterno,-0.189,0.075,90,False
Guardarsi da fuori dal corpo,-0.016,0.8778,90,False
Età percepita alterata,-0.12,0.2611,90,False
Corpo percepito come cambiato,-0.115,0.2785,90,False
Arti percepiti come non propri,-0.135,0.2062,90,False
Perdita di controllo del corpo,-0.02,0.8551,90,False
Controllo allo specchio,-0.146,0.1687,90,False
Sensazioni elettriche nel corpo,-0.081,0.4453,90,False
Sensazioni termiche senza causa,-0.083,0.4366,90,False
Dolore ai rumori,-0.247,0.0187,90,True
Gambe che si piegano da ferme,-0.183,0.0844,90,False
Incapacità di controllare il corpo,-0.239,0.023,90,True
Impossibilità di muoversi,-0.331,0.0015,90,True
Debolezza improvvisa di un arto,-0.269,0.0103,90,True
Movimento percepito per imitazione,-0.189,0.0742,90,False
Osservatore passivo del mondo,-0.253,0.016,90,True
Scomparsa della barriera tra sé e il mondo,-0.085,0.4271,90,False
Dubbio sulla propria esistenza,-0.279,0.0078,90,True
Mancanza di idee proprie,-0.305,0.0035,90,True
Non far parte del mondo,-0.147,0.1675,90,False
Sentirsi come un fantasma,-0.114,0.2845,90,False
Evitamento per mancanza di opinioni,-0.249,0.0181,90,True
