Variable,r,p_value,N,Significant
Pensieri generati da altri,-0.04,0.7086,90,False
Parole lette da qualcun altro,-0.049,0.6472,90,False
Pensieri non propri,-0.036,0.7381,90,False
Pensieri come scritti,0.003,0.9767,90,False
Pensieri percepiti come rumorosi,-0.241,0.0223,90,True
Pensieri ripetuti o echeggianti,-0.031,0.7716,90,False
Vedere i propri pensieri,-0.108,0.309,90,False
Vita attuale scollegata dal futuro,-0.012,0.9093,90,False
Perdita di identità,-0.12,0.2612,90,False
Vera identità scomparsa,-0.002,0.9864,90,False
Perdita di contatto con se stessi,0.089,0.4046,90,False
Distanza da se stessi,0.071,0.5049,90,False
Perdita totale di sé,-0.186,0.0796,90,False
Ricerca di identità tramite oggetti,0.033,0.7547,90,False
Vivere in un altro mondo,,,90,False
Paura di perdersi,-0.088,0.4086,90,False
Estraneità a se stessi,-0.038,0.719,90,False
Perdita di connessione col mondo,-0.179,0.0914,90,False
Scarsa presenza nel mondo,0.055,0.6044,90,False
Non essere più la stessa persona,-0.024,0.8231,90,False
Vuoto interiore,-0.025,0.8129,90,False
Pensare a se stessi come un'altra persona,-0.117,0.2703,90,False
Disconnessione da sé e dai propri pensieri,0.089,0.403,90,False
Svanire dall'esistenza,-0.192,0.0696,90,False
Assorbimento nell'introspezione,-0.136,0.2009,90,False
Sensazione di non essere l'autore delle proprie azioni,-0.139,0.1919,90,False
Sensazione di stare cambiando,-0.122,0.2513,90,False
Appiattimento emotivo,-0.106,0.3209,90,False
Alterazione del significato del mondo,-0.069,0.5186,90,False
Dubbio tra provare e immaginare,-0.036,0.7358,90,False
Dubbio tra dire e pensare,-0.047,0.6617,90,False
Alterazione della percezione del tempo,-0.188,0.0764,90,False
"Tempo che accelera, rallenta o si ferma",-0.199,0.0598,90,False
Amnesia di azioni compiute,-0.217,0.0395,90,True
Disallineamento tra espressione e vissuto interno,-0.031,0.7695,90,False
Guardarsi dall'esterno,-0.074,0.4853,90,False
Guardarsi da fuori dal corpo,0.017,0.8746,90,False
Età percepita alterata,-0.178,0.0927,90,False
Corpo percepito come cambiato,-0.026,0.8085,90,False
Arti percepiti come non propri,0.105,0.323,90,False
Perdita di controllo del corpo,0.1,0.3479,90,False
Controllo allo specchio,,,90,False
Sensazioni elettriche nel corpo,-0.16,0.1323,90,False
Sensazioni termiche senza causa,-0.099,0.3518,90,False
Dolore ai rumori,-0.211,0.0458,90,True
Gambe che si piegano da ferme,-0.165,0.1192,90,False
Incapacità di controllare il corpo,-0.172,0.1043,90,False
Impossibilità di muoversi,-0.021,0.8418,90,False
Debolezza improvvisa di un arto,-0.144,0.1753,90,False
Movimento percepito per imitazione,-0.018,0.8692,90,False
Osservatore passivo del mondo,-0.091,0.3952,90,False
Scomparsa della barriera tra sé e il mondo,-0.013,0.9061,90,False
Dubbio sulla propria esistenza,-0.02,0.8514,90,False
Mancanza di idee proprie,-0.069,0.5191,90,False
Non far parte del mondo,-0.212,0.045,90,True
Sentirsi come un fantasma,0.006,0.9542,90,False
Evitamento per mancanza di opinioni,-0.01,0.9239,90,False
