Variable,r,p_value,N,Significant
Pensieri generati da altri,-0.073,0.6128,51,False
Parole lette da qualcun altro,-0.101,0.4799,51,False
Pensieri non propri,-0.08,0.5773,51,False
Pensieri come scritti,-0.142,0.3215,51,False
Pensieri percepiti come rumorosi,-0.31,0.0268,51,True
Pensieri ripetuti o echeggianti,0.006,0.9665,51,False
Vedere i propri pensieri,-0.158,0.2696,51,False
Vita attuale scollegata dal futuro,-0.054,0.7074,51,False
Perdita di identità,-0.094,0.5102,51,False
Vera identità scomparsa,-0.022,0.8799,51,False
Perdita di contatto con se stessi,-0.028,0.8456,51,False
Distanza da se stessi,0.131,0.36,51,False
Perdita totale di sé,-0.232,0.101,51,False
Ricerca di identità tramite oggetti,-0.222,0.118,51,False
Vivere in un altro mondo,0.092,0.521,51,False
Paura di perdersi,-0.247,0.081,51,False
Estraneità a se stessi,-0.04,0.7798,51,False
Perdita di connessione col mondo,-0.268,0.0571,51,False
Scarsa presenza nel mondo,0.093,0.5147,51,False
Non essere più la stessa persona,-0.013,0.9296,51,False
Vuoto interiore,-0.117,0.4123,51,False
Pensare a se stessi come un'altra persona,-0.108,0.4496,51,False
Disconnessione da sé e dai propri pensieri,0.08,0.5747,51,False
Svanire dall'esistenza,-0.24,0.09,51,False
Assorbimento nell'introspezione,-0.202,0.1545,51,False
Sensazione di non essere l'autore delle proprie azioni,-0.159,0.266,51,False
Sensazione di stare cambiando,-0.158,0.269,51,False
Appiattimento emotivo,0.013,0.9269,51,False
Alterazione del significato del mondo,0.034,0.8144,51,False
Dubbio tra provare e immaginare,-0.168,0.2376,51,False
Dubbio tra dire e pensare,-0.153,0.2846,51,False
Alterazione della percezione del tempo,-0.273,0.0524,51,False
"Tempo che accelera, rallenta o si ferma",-0.264,0.0616,51,False
Amnesia di azioni compiute,-0.132,0.3544,51,False
Disallineamento tra espressione e vissuto interno,-0.164,0.2505,51,False
Guardarsi dall'esterno,-0.212,0.1362,51,False
Guardarsi da fuori dal corpo,-0.033,0.8161,51,False
Età percepita alterata,-0.11,0.4421,51,False
Corpo percepito come cambiato,0.061,0.6695,51,False
Arti percepiti come non propri,-0.135,0.3464,51,False
Perdita di controllo del corpo,-0.06,0.6757,51,False
Controllo allo specchio,-0.344,0.0135,51,True
Sensazioni elettriche nel corpo,-0.253,0.0732,51,False
Sensazioni termiche senza causa,-0.022,0.8809,51,False
Dolore ai rumori,-0.289,0.04,51,True
Gambe che si piegano da ferme,-0.126,0.3799,51,False
Incapacità di controllare il corpo,-0.146,0.3056,51,False
Impossibilità di muoversi,-0.34,0.0147,51,True
Debolezza improvvisa di un arto,-0.272,0.0532,51,False
Movimento percepito per imitazione,-0.059,0.6801,51,False
Osservatore passivo del mondo,-0.196,0.169,51,False
Scomparsa della barriera tra sé e il mondo,-0.102,0.4757,51,False
Dubbio sulla propria esistenza,-0.076,0.5947,51,False
Mancanza di idee proprie,-0.344,0.0135,51,True
Non far parte del mondo,-0.259,0.0669,51,False
Sentirsi come un fantasma,-0.203,0.1537,51,False
Evitamento per mancanza di opinioni,-0.193,0.1745,51,False
