Variable,r,p_value,N,Significant
Pensieri generati da altri,0.152,0.3561,39,False
Parole lette da qualcun altro,-0.06,0.7151,39,False
Pensieri non propri,0.13,0.4301,39,False
Pensieri come scritti,0.123,0.454,39,False
Pensieri percepiti come rumorosi,0.139,0.3974,39,False
Pensieri ripetuti o echeggianti,0.109,0.508,39,False
Vedere i propri pensieri,-0.053,0.747,39,False
Vita attuale scollegata dal futuro,0.153,0.3509,39,False
Perdita di identità,0.218,0.1831,39,False
Vera identità scomparsa,0.014,0.9306,39,False
Perdita di contatto con se stessi,0.206,0.2078,39,False
Distanza da se stessi,0.02,0.9044,39,False
Perdita totale di sé,0.099,0.5492,39,False
Ricerca di identità tramite oggetti,0.267,0.1005,39,False
Vivere in un altro mondo,0.163,0.3219,39,False
Paura di perdersi,0.208,0.2047,39,False
Estraneità a se stessi,0.046,0.7798,39,False
Perdita di connessione col mondo,0.059,0.7199,39,False
Scarsa presenza nel mondo,0.101,0.5389,39,False
Non essere più la stessa persona,-0.039,0.8153,39,False
Vuoto interiore,0.204,0.2129,39,False
Pensare a se stessi come un'altra persona,0.158,0.3369,39,False
Disconnessione da sé e dai propri pensieri,0.274,0.0918,39,False
Svanire dall'esistenza,0.298,0.0656,39,False
Assorbimento nell'introspezione,0.117,0.4771,39,False
Sensazione di non essere l'autore delle proprie azioni,0.059,0.7216,39,False
Sensazione di stare cambiando,0.097,0.5554,39,False
Appiattimento emotivo,-0.008,0.9628,39,False
Alterazione del significato del mondo,0.156,0.3436,39,False
Dubbio tra provare e immaginare,0.281,0.0828,39,False
Dubbio tra dire e pensare,0.252,0.1219,39,False
Alterazione della percezione del tempo,0.24,0.141,39,False
"Tempo che accelera, rallenta o si ferma",0.135,0.4111,39,False
Amnesia di azioni compiute,0.249,0.1263,39,False
Disallineamento tra espressione e vissuto interno,0.099,0.5479,39,False
Guardarsi dall'esterno,-0.102,0.5385,39,False
Guardarsi da fuori dal corpo,0.119,0.4703,39,False
Età percepita alterata,0.234,0.1525,39,False
Corpo percepito come cambiato,0.161,0.3273,39,False
Arti percepiti come non propri,0.289,0.0739,39,False
Perdita di controllo del corpo,0.221,0.1755,39,False
Controllo allo specchio,0.237,0.1456,39,False
Sensazioni elettriche nel corpo,0.026,0.8758,39,False
Sensazioni termiche senza causa,0.082,0.6177,39,False
Dolore ai rumori,0.054,0.7433,39,False
Gambe che si piegano da ferme,0.156,0.3445,39,False
Incapacità di controllare il corpo,0.118,0.4741,39,False
Impossibilità di muoversi,0.065,0.6963,39,False
Debolezza improvvisa di un arto,0.084,0.6103,39,False
Movimento percepito per imitazione,0.09,0.5838,39,False
Osservatore passivo del mondo,0.058,0.7248,39,False
Scomparsa della barriera tra sé e il mondo,0.264,0.1049,39,False
Dubbio sulla propria esistenza,0.12,0.4672,39,False
Mancanza di idee proprie,0.234,0.1514,39,False
Non far parte del mondo,0.014,0.9316,39,False
Sentirsi come un fantasma,0.256,0.1155,39,False
Evitamento per mancanza di opinioni,0.228,0.1623,39,False
