Variable,r,p_value,N,Significant
Pensieri generati da altri,-0.04,0.7059,90,False
Parole lette da qualcun altro,-0.102,0.3373,90,False
Pensieri non propri,-0.031,0.7723,90,False
Pensieri come scritti,-0.046,0.6693,90,False
Pensieri percepiti come rumorosi,-0.16,0.1308,90,False
Pensieri ripetuti o echeggianti,-0.017,0.8771,90,False
Vedere i propri pensieri,-0.142,0.1804,90,False
Vita attuale scollegata dal futuro,-0.038,0.7203,90,False
Perdita di identità,0.027,0.7977,90,False
Vera identità scomparsa,-0.05,0.6411,90,False
Perdita di contatto con se stessi,0.052,0.6237,90,False
Distanza da se stessi,0.067,0.5316,90,False
Perdita totale di sé,-0.097,0.3637,90,False
Ricerca di identità tramite oggetti,-0.047,0.6634,90,False
Vivere in un altro mondo,0.127,0.2314,90,False
Paura di perdersi,-0.102,0.3383,90,False
Estraneità a se stessi,-0.012,0.9081,90,False
Perdita di connessione col mondo,-0.136,0.2008,90,False
Scarsa presenza nel mondo,0.076,0.4744,90,False
Non essere più la stessa persona,-0.047,0.6628,90,False
Vuoto interiore,0.012,0.9113,90,False
Pensare a se stessi come un'altra persona,-0.069,0.5201,90,False
Disconnessione da sé e dai propri pensieri,0.128,0.2309,90,False
Svanire dall'esistenza,-0.035,0.7412,90,False
Assorbimento nell'introspezione,-0.11,0.3006,90,False
Sensazione di non essere l'autore delle proprie azioni,-0.073,0.493,90,False
Sensazione di stare cambiando,-0.088,0.4088,90,False
Appiattimento emotivo,-0.011,0.9179,90,False
Alterazione del significato del mondo,0.055,0.6039,90,False
Dubbio tra provare e immaginare,-0.05,0.6409,90,False
Dubbio tra dire e pensare,-0.034,0.7511,90,False
Alterazione della percezione del tempo,-0.11,0.3036,90,False
"Tempo che accelera, rallenta o si ferma",-0.109,0.3081,90,False
Amnesia di azioni compiute,-0.049,0.6435,90,False
Disallineamento tra espressione e vissuto interno,-0.049,0.6443,90,False
Guardarsi dall'esterno,-0.146,0.169,90,False
Guardarsi da fuori dal corpo,0.007,0.9472,90,False
Età percepita alterata,-0.005,0.9644,90,False
Corpo percepito come cambiato,0.075,0.4848,90,False
Arti percepiti come non propri,0.023,0.8261,90,False
Perdita di controllo del corpo,0.06,0.5713,90,False
Controllo allo specchio,-0.057,0.5927,90,False
Sensazioni elettriche nel corpo,-0.138,0.1951,90,False
Sensazioni termiche senza causa,0.003,0.9743,90,False
Dolore ai rumori,-0.169,0.1117,90,False
Gambe che si piegano da ferme,-0.06,0.5747,90,False
Incapacità di controllare il corpo,-0.076,0.4754,90,False
Impossibilità di muoversi,-0.183,0.0844,90,False
Debolezza improvvisa di un arto,-0.146,0.1684,90,False
Movimento percepito per imitazione,-0.018,0.8692,90,False
Osservatore passivo del mondo,-0.121,0.2546,90,False
Scomparsa della barriera tra sé e il mondo,0.025,0.8136,90,False
Dubbio sulla propria esistenza,-0.023,0.8271,90,False
Mancanza di idee proprie,-0.128,0.2308,90,False
Non far parte del mondo,-0.128,0.231,90,False
Sentirsi come un fantasma,-0.011,0.9168,90,False
Evitamento per mancanza di opinioni,-0.077,0.4688,90,False
