Variable,r,p_value,N,Significant
Pensieri generati da altri,-0.199,0.0598,90,False
Parole lette da qualcun altro,-0.17,0.1087,90,False
Pensieri non propri,-0.268,0.0106,90,True
Pensieri come scritti,-0.068,0.5212,90,False
Pensieri percepiti come rumorosi,-0.442,0.0,90,True
Pensieri ripetuti o echeggianti,-0.239,0.023,90,True
Vedere i propri pensieri,-0.349,0.0008,90,True
Vita attuale scollegata dal futuro,-0.368,0.0004,90,True
Perdita di identità,-0.337,0.0012,90,True
Vera identità scomparsa,-0.233,0.0271,90,True
Perdita di contatto con se stessi,0.022,0.8336,90,False
Distanza da se stessi,-0.012,0.911,90,False
Perdita totale di sé,-0.24,0.0225,90,True
Ricerca di identità tramite oggetti,-0.167,0.1155,90,False
Vivere in un altro mondo,,,90,False
Paura di perdersi,-0.237,0.0245,90,True
Estraneità a se stessi,-0.239,0.0235,90,True
Perdita di connessione col mondo,-0.215,0.0421,90,True
Scarsa presenza nel mondo,-0.012,0.9108,90,False
Non essere più la stessa persona,-0.132,0.2163,90,False
Vuoto interiore,-0.175,0.0999,90,False
Pensare a se stessi come un'altra persona,-0.296,0.0047,90,True
Disconnessione da sé e dai propri pensieri,0.014,0.8939,90,False
Svanire dall'esistenza,-0.108,0.3111,90,False
Assorbimento nell'introspezione,-0.247,0.019,90,True
Sensazione di non essere l'autore delle proprie azioni,-0.129,0.2249,90,False
Sensazione di stare cambiando,-0.359,0.0005,90,True
Appiattimento emotivo,-0.175,0.0981,90,False
Alterazione del significato del mondo,-0.049,0.6448,90,False
Dubbio tra provare e immaginare,-0.264,0.0118,90,True
Dubbio tra dire e pensare,-0.356,0.0006,90,True
Alterazione della percezione del tempo,-0.381,0.0002,90,True
"Tempo che accelera, rallenta o si ferma",-0.423,0.0,90,True
Amnesia di azioni compiute,-0.347,0.0008,90,True
Disallineamento tra espressione e vissuto interno,0.042,0.6912,90,False
Guardarsi dall'esterno,-0.139,0.1926,90,False
Guardarsi da fuori dal corpo,-0.07,0.5093,90,False
Età percepita alterata,-0.327,0.0016,90,True
Corpo percepito come cambiato,-0.154,0.1485,90,False
Arti percepiti come non propri,-0.122,0.2518,90,False
Perdita di controllo del corpo,-0.033,0.7579,90,False
Controllo allo specchio,,,90,False
Sensazioni elettriche nel corpo,-0.054,0.6107,90,False
Sensazioni termiche senza causa,-0.073,0.495,90,False
Dolore ai rumori,-0.322,0.002,90,True
Gambe che si piegano da ferme,-0.139,0.1915,90,False
Incapacità di controllare il corpo,-0.308,0.0032,90,True
Impossibilità di muoversi,-0.09,0.398,90,False
Debolezza improvvisa di un arto,-0.329,0.0016,90,True
Movimento percepito per imitazione,-0.188,0.0762,90,False
Osservatore passivo del mondo,-0.311,0.0029,90,True
Scomparsa della barriera tra sé e il mondo,-0.11,0.3005,90,False
Dubbio sulla propria esistenza,-0.285,0.0066,90,True
Mancanza di idee proprie,-0.235,0.0255,90,True
Non far parte del mondo,-0.183,0.0834,90,False
Sentirsi come un fantasma,-0.148,0.1627,90,False
Evitamento per mancanza di opinioni,0.125,0.2418,90,False
