Variable,r,p_value,N,Significant
Pensieri generati da altri,-0.156,0.2731,51,False
Parole lette da qualcun altro,-0.245,0.0838,51,False
Pensieri non propri,-0.322,0.0212,51,True
Pensieri come scritti,-0.051,0.7218,51,False
Pensieri percepiti come rumorosi,-0.46,0.0007,51,True
Pensieri ripetuti o echeggianti,-0.179,0.2094,51,False
Vedere i propri pensieri,-0.396,0.004,51,True
Vita attuale scollegata dal futuro,-0.254,0.0726,51,False
Perdita di identità,-0.332,0.0174,51,True
Vera identità scomparsa,-0.116,0.4169,51,False
Perdita di contatto con se stessi,0.058,0.6884,51,False
Distanza da se stessi,0.075,0.6007,51,False
Perdita totale di sé,-0.26,0.0654,51,False
Ricerca di identità tramite oggetti,-0.145,0.3112,51,False
Vivere in un altro mondo,,,51,False
Paura di perdersi,-0.319,0.0223,51,True
Estraneità a se stessi,-0.26,0.0652,51,False
Perdita di connessione col mondo,-0.209,0.1408,51,False
Scarsa presenza nel mondo,-0.027,0.8504,51,False
Non essere più la stessa persona,0.011,0.9412,51,False
Vuoto interiore,-0.137,0.3365,51,False
Pensare a se stessi come un'altra persona,-0.255,0.0706,51,False
Disconnessione da sé e dai propri pensieri,0.147,0.3046,51,False
Svanire dall'esistenza,-0.133,0.3529,51,False
Assorbimento nell'introspezione,-0.206,0.1468,51,False
Sensazione di non essere l'autore delle proprie azioni,-0.231,0.1032,51,False
Sensazione di stare cambiando,-0.34,0.0146,51,True
Appiattimento emotivo,-0.091,0.5232,51,False
Alterazione del significato del mondo,-0.053,0.712,51,False
Dubbio tra provare e immaginare,-0.246,0.0814,51,False
Dubbio tra dire e pensare,-0.219,0.1224,51,False
Alterazione della percezione del tempo,-0.388,0.0049,51,True
"Tempo che accelera, rallenta o si ferma",-0.372,0.0072,51,True
Amnesia di azioni compiute,-0.32,0.022,51,True
Disallineamento tra espressione e vissuto interno,-0.122,0.3923,51,False
Guardarsi dall'esterno,-0.226,0.1111,51,False
Guardarsi da fuori dal corpo,-0.151,0.2906,51,False
Età percepita alterata,-0.281,0.0459,51,True
Corpo percepito come cambiato,-0.066,0.644,51,False
Arti percepiti come non propri,-0.271,0.0547,51,False
Perdita di controllo del corpo,-0.127,0.3729,51,False
Controllo allo specchio,,,51,False
Sensazioni elettriche nel corpo,-0.107,0.4534,51,False
Sensazioni termiche senza causa,-0.058,0.6852,51,False
Dolore ai rumori,-0.357,0.0101,51,True
Gambe che si piegano da ferme,-0.14,0.3277,51,False
Incapacità di controllare il corpo,-0.319,0.0224,51,True
Impossibilità di muoversi,-0.002,0.9885,51,False
Debolezza improvvisa di un arto,-0.353,0.0109,51,True
Movimento percepito per imitazione,-0.285,0.0429,51,True
Osservatore passivo del mondo,-0.309,0.0272,51,True
Scomparsa della barriera tra sé e il mondo,-0.108,0.4501,51,False
Dubbio sulla propria esistenza,-0.195,0.17,51,False
Mancanza di idee proprie,-0.289,0.0395,51,True
Non far parte del mondo,-0.253,0.0732,51,False
Sentirsi come un fantasma,-0.259,0.066,51,False
Evitamento per mancanza di opinioni,0.183,0.1981,51,False
