Variable,r,p_value,N,Significant
Pensieri generati da altri,-0.19,0.1818,51,False
Parole lette da qualcun altro,-0.277,0.0495,51,True
Pensieri non propri,-0.228,0.1076,51,False
Pensieri come scritti,-0.115,0.4226,51,False
Pensieri percepiti come rumorosi,-0.408,0.0029,51,True
Pensieri ripetuti o echeggianti,-0.114,0.4253,51,False
Vedere i propri pensieri,-0.299,0.0333,51,True
Vita attuale scollegata dal futuro,-0.194,0.1717,51,False
Perdita di identità,-0.161,0.2578,51,False
Vera identità scomparsa,-0.103,0.4717,51,False
Perdita di contatto con se stessi,0.006,0.9664,51,False
Distanza da se stessi,0.201,0.1578,51,False
Perdita totale di sé,-0.228,0.1079,51,False
Ricerca di identità tramite oggetti,-0.349,0.0121,51,True
Vivere in un altro mondo,-0.023,0.8746,51,False
Paura di perdersi,-0.169,0.2371,51,False
Estraneità a se stessi,-0.048,0.7356,51,False
Perdita di connessione col mondo,-0.135,0.3445,51,False
Scarsa presenza nel mondo,-0.009,0.9498,51,False
Non essere più la stessa persona,-0.026,0.8574,51,False
Vuoto interiore,0.019,0.8945,51,False
Pensare a se stessi come un'altra persona,-0.256,0.0702,51,False
Disconnessione da sé e dai propri pensieri,0.215,0.1304,51,False
Svanire dall'esistenza,-0.113,0.4313,51,False
Assorbimento nell'introspezione,-0.209,0.1402,51,False
Sensazione di non essere l'autore delle proprie azioni,-0.214,0.1325,51,False
Sensazione di stare cambiando,-0.215,0.1305,51,False
Appiattimento emotivo,-0.158,0.2666,51,False
Alterazione del significato del mondo,0.009,0.9485,51,False
Dubbio tra provare e immaginare,-0.23,0.1045,51,False
Dubbio tra dire e pensare,-0.355,0.0106,51,True
Alterazione della percezione del tempo,-0.346,0.0128,51,True
"Tempo che accelera, rallenta o si ferma",-0.359,0.0097,51,True
Amnesia di azioni compiute,-0.285,0.0427,51,True
Disallineamento tra espressione e vissuto interno,-0.181,0.2047,51,False
Guardarsi dall'esterno,-0.31,0.0269,51,True
Guardarsi da fuori dal corpo,-0.004,0.9778,51,False
Età percepita alterata,-0.097,0.4993,51,False
Corpo percepito come cambiato,-0.047,0.7444,51,False
Arti percepiti come non propri,-0.305,0.0294,51,True
Perdita di controllo del corpo,-0.16,0.2608,51,False
Controllo allo specchio,-0.344,0.0134,51,True
Sensazioni elettriche nel corpo,-0.048,0.7384,51,False
Sensazioni termiche senza causa,0.019,0.8943,51,False
Dolore ai rumori,-0.259,0.0663,51,False
Gambe che si piegano da ferme,-0.242,0.0876,51,False
Incapacità di controllare il corpo,-0.281,0.0458,51,True
Impossibilità di muoversi,-0.409,0.0029,51,True
Debolezza improvvisa di un arto,-0.428,0.0018,51,True
Movimento percepito per imitazione,-0.283,0.0446,51,True
Osservatore passivo del mondo,-0.315,0.0245,51,True
Scomparsa della barriera tra sé e il mondo,-0.064,0.655,51,False
Dubbio sulla propria esistenza,-0.229,0.1062,51,False
Mancanza di idee proprie,-0.47,0.0005,51,True
Non far parte del mondo,-0.188,0.187,51,False
Sentirsi come un fantasma,-0.288,0.0403,51,True
Evitamento per mancanza di opinioni,-0.224,0.1133,51,False
