Variable,r,p_value,N,Significant
Pensieri generati da altri,0.119,0.4716,39,False
Parole lette da qualcun altro,-0.055,0.7381,39,False
Pensieri non propri,0.034,0.8353,39,False
Pensieri come scritti,0.082,0.6206,39,False
Pensieri percepiti come rumorosi,-0.033,0.843,39,False
Pensieri ripetuti o echeggianti,0.072,0.6638,39,False
Vedere i propri pensieri,-0.042,0.8019,39,False
Vita attuale scollegata dal futuro,-0.066,0.6899,39,False
Perdita di identità,-0.134,0.4177,39,False
Vera identità scomparsa,-0.275,0.0906,39,False
Perdita di contatto con se stessi,0.1,0.5441,39,False
Distanza da se stessi,-0.057,0.7321,39,False
Perdita totale di sé,-0.165,0.3167,39,False
Ricerca di identità tramite oggetti,0.225,0.1683,39,False
Vivere in un altro mondo,0.076,0.6474,39,False
Paura di perdersi,0.084,0.6132,39,False
Estraneità a se stessi,-0.066,0.6877,39,False
Perdita di connessione col mondo,-0.078,0.6383,39,False
Scarsa presenza nel mondo,-0.219,0.1804,39,False
Non essere più la stessa persona,-0.225,0.1693,39,False
Vuoto interiore,-0.218,0.1829,39,False
Pensare a se stessi come un'altra persona,-0.12,0.4651,39,False
Disconnessione da sé e dai propri pensieri,0.08,0.6289,39,False
Svanire dall'esistenza,0.034,0.8363,39,False
Assorbimento nell'introspezione,0.152,0.3549,39,False
Sensazione di non essere l'autore delle proprie azioni,-0.06,0.7164,39,False
Sensazione di stare cambiando,-0.059,0.7205,39,False
Appiattimento emotivo,-0.13,0.4306,39,False
Alterazione del significato del mondo,0.255,0.1179,39,False
Dubbio tra provare e immaginare,0.041,0.8024,39,False
Dubbio tra dire e pensare,-0.086,0.6046,39,False
Alterazione della percezione del tempo,-0.087,0.5992,39,False
"Tempo che accelera, rallenta o si ferma",-0.031,0.8531,39,False
Amnesia di azioni compiute,-0.055,0.7409,39,False
Disallineamento tra espressione e vissuto interno,0.091,0.5799,39,False
Guardarsi dall'esterno,0.035,0.8348,39,False
Guardarsi da fuori dal corpo,0.175,0.2865,39,False
Età percepita alterata,0.02,0.9053,39,False
Corpo percepito come cambiato,0.098,0.554,39,False
Arti percepiti come non propri,0.2,0.2234,39,False
Perdita di controllo del corpo,0.159,0.3327,39,False
Controllo allo specchio,0.107,0.5185,39,False
Sensazioni elettriche nel corpo,-0.075,0.6514,39,False
Sensazioni termiche senza causa,-0.045,0.7872,39,False
Dolore ai rumori,0.008,0.9609,39,False
Gambe che si piegano da ferme,0.065,0.6931,39,False
Incapacità di controllare il corpo,0.015,0.9272,39,False
Impossibilità di muoversi,0.006,0.9706,39,False
Debolezza improvvisa di un arto,0.105,0.523,39,False
Movimento percepito per imitazione,-0.109,0.5089,39,False
Osservatore passivo del mondo,-0.113,0.4932,39,False
Scomparsa della barriera tra sé e il mondo,0.016,0.9238,39,False
Dubbio sulla propria esistenza,-0.057,0.7288,39,False
Mancanza di idee proprie,-0.137,0.405,39,False
Non far parte del mondo,-0.219,0.1811,39,False
Sentirsi come un fantasma,0.131,0.4277,39,False
Evitamento per mancanza di opinioni,-0.076,0.6457,39,False
