Variable,r,p_value,N,Significant
Pensieri generati da altri,-0.185,0.0807,90,False
Parole lette da qualcun altro,-0.244,0.0203,90,True
Pensieri non propri,-0.249,0.018,90,True
Pensieri come scritti,-0.126,0.2371,90,False
Pensieri percepiti come rumorosi,-0.394,0.0001,90,True
Pensieri ripetuti o echeggianti,-0.221,0.0363,90,True
Vedere i propri pensieri,-0.288,0.0059,90,True
Vita attuale scollegata dal futuro,-0.328,0.0016,90,True
Perdita di identità,-0.187,0.0784,90,False
Vera identità scomparsa,-0.265,0.0115,90,True
Perdita di contatto con se stessi,-0.029,0.7835,90,False
Distanza da se stessi,0.08,0.4522,90,False
Perdita totale di sé,-0.237,0.0248,90,True
Ricerca di identità tramite oggetti,-0.262,0.0125,90,True
Vivere in un altro mondo,0.054,0.616,90,False
Paura di perdersi,-0.134,0.207,90,False
Estraneità a se stessi,-0.066,0.5372,90,False
Perdita di connessione col mondo,-0.169,0.1122,90,False
Scarsa presenza nel mondo,-0.112,0.2954,90,False
Non essere più la stessa persona,-0.178,0.093,90,False
Vuoto interiore,-0.112,0.2915,90,False
Pensare a se stessi come un'altra persona,-0.294,0.0049,90,True
Disconnessione da sé e dai propri pensieri,0.056,0.6023,90,False
Svanire dall'esistenza,-0.128,0.2279,90,False
Assorbimento nell'introspezione,-0.197,0.0622,90,False
Sensazione di non essere l'autore delle proprie azioni,-0.184,0.0825,90,False
Sensazione di stare cambiando,-0.236,0.0254,90,True
Appiattimento emotivo,-0.267,0.011,90,True
Alterazione del significato del mondo,0.012,0.9123,90,False
Dubbio tra provare e immaginare,-0.251,0.0169,90,True
Dubbio tra dire e pensare,-0.361,0.0005,90,True
Alterazione della percezione del tempo,-0.386,0.0002,90,True
"Tempo che accelera, rallenta o si ferma",-0.37,0.0003,90,True
Amnesia di azioni compiute,-0.36,0.0005,90,True
Disallineamento tra espressione e vissuto interno,0.035,0.7422,90,False
Guardarsi dall'esterno,-0.143,0.1779,90,False
Guardarsi da fuori dal corpo,-0.005,0.9634,90,False
Età percepita alterata,-0.139,0.1925,90,False
Corpo percepito come cambiato,-0.118,0.2666,90,False
Arti percepiti come non propri,-0.118,0.2677,90,False
Perdita di controllo del corpo,-0.054,0.6131,90,False
Controllo allo specchio,-0.184,0.0821,90,False
Sensazioni elettriche nel corpo,-0.011,0.9148,90,False
Sensazioni termiche senza causa,-0.127,0.232,90,False
Dolore ai rumori,-0.241,0.0219,90,True
Gambe che si piegano da ferme,-0.235,0.0256,90,True
Incapacità di controllare il corpo,-0.267,0.011,90,True
Impossibilità di muoversi,-0.368,0.0004,90,True
Debolezza improvvisa di un arto,-0.355,0.0006,90,True
Movimento percepito per imitazione,-0.276,0.0085,90,True
Osservatore passivo del mondo,-0.327,0.0017,90,True
Scomparsa della barriera tra sé e il mondo,-0.108,0.311,90,False
Dubbio sulla propria esistenza,-0.257,0.0144,90,True
Mancanza di idee proprie,-0.41,0.0001,90,True
Non far parte del mondo,-0.194,0.0673,90,False
Sentirsi come un fantasma,-0.101,0.3456,90,False
Evitamento per mancanza di opinioni,-0.327,0.0016,90,True
