Variable,r,p_value,N,Significant
Pensieri generati da altri,0.203,0.0545,90,False
Parole lette da qualcun altro,0.078,0.4678,90,False
Pensieri non propri,0.213,0.0439,90,True
Pensieri come scritti,0.032,0.7682,90,False
Pensieri percepiti come rumorosi,-0.083,0.4341,90,False
Pensieri ripetuti o echeggianti,0.23,0.0293,90,True
Vedere i propri pensieri,-0.004,0.971,90,False
Vita attuale scollegata dal futuro,0.149,0.1607,90,False
Perdita di identità,0.033,0.7575,90,False
Vera identità scomparsa,0.216,0.0407,90,True
Perdita di contatto con se stessi,0.053,0.6166,90,False
Distanza da se stessi,0.182,0.0856,90,False
Perdita totale di sé,0.007,0.9465,90,False
Ricerca di identità tramite oggetti,0.076,0.4785,90,False
Vivere in un altro mondo,,,90,False
Paura di perdersi,-0.115,0.2812,90,False
Estraneità a se stessi,0.059,0.5831,90,False
Perdita di connessione col mondo,-0.107,0.3141,90,False
Scarsa presenza nel mondo,-0.08,0.4559,90,False
Non essere più la stessa persona,0.132,0.2151,90,False
Vuoto interiore,0.039,0.7167,90,False
Pensare a se stessi come un'altra persona,0.088,0.4084,90,False
Disconnessione da sé e dai propri pensieri,-0.063,0.5552,90,False
Svanire dall'esistenza,-0.161,0.1295,90,False
Assorbimento nell'introspezione,-0.071,0.5037,90,False
Sensazione di non essere l'autore delle proprie azioni,0.159,0.1353,90,False
Sensazione di stare cambiando,0.091,0.3917,90,False
Appiattimento emotivo,0.098,0.3576,90,False
Alterazione del significato del mondo,-0.075,0.4841,90,False
Dubbio tra provare e immaginare,0.057,0.5909,90,False
Dubbio tra dire e pensare,0.224,0.0342,90,True
Alterazione della percezione del tempo,0.013,0.9052,90,False
"Tempo che accelera, rallenta o si ferma",-0.074,0.4896,90,False
Amnesia di azioni compiute,0.174,0.1015,90,False
Disallineamento tra espressione e vissuto interno,0.047,0.6588,90,False
Guardarsi dall'esterno,0.107,0.3161,90,False
Guardarsi da fuori dal corpo,0.118,0.2684,90,False
Età percepita alterata,-0.015,0.8915,90,False
Corpo percepito come cambiato,0.027,0.7999,90,False
Arti percepiti come non propri,0.219,0.0385,90,True
Perdita di controllo del corpo,0.135,0.2042,90,False
Controllo allo specchio,,,90,False
Sensazioni elettriche nel corpo,0.011,0.9188,90,False
Sensazioni termiche senza causa,0.019,0.8598,90,False
Dolore ai rumori,-0.094,0.3761,90,False
Gambe che si piegano da ferme,-0.166,0.1185,90,False
Incapacità di controllare il corpo,-0.046,0.6659,90,False
Impossibilità di muoversi,0.063,0.5573,90,False
Debolezza improvvisa di un arto,0.06,0.5748,90,False
Movimento percepito per imitazione,0.007,0.948,90,False
Osservatore passivo del mondo,0.032,0.7656,90,False
Scomparsa della barriera tra sé e il mondo,0.019,0.8587,90,False
Dubbio sulla propria esistenza,0.098,0.3561,90,False
Mancanza di idee proprie,0.008,0.9429,90,False
Non far parte del mondo,-0.264,0.012,90,True
Sentirsi come un fantasma,-0.146,0.1703,90,False
Evitamento per mancanza di opinioni,0.098,0.3572,90,False
