Variable,r,p_value,N,Significant
Pensieri generati da altri,0.214,0.1917,39,False
Parole lette da qualcun altro,-0.013,0.9381,39,False
Pensieri non propri,-0.022,0.8951,39,False
Pensieri come scritti,0.097,0.556,39,False
Pensieri percepiti come rumorosi,0.237,0.1462,39,False
Pensieri ripetuti o echeggianti,0.12,0.4651,39,False
Vedere i propri pensieri,-0.004,0.9793,39,False
Vita attuale scollegata dal futuro,0.039,0.8114,39,False
Perdita di identità,0.076,0.6448,39,False
Vera identità scomparsa,0.065,0.6929,39,False
Perdita di contatto con se stessi,0.014,0.9327,39,False
Distanza da se stessi,0.094,0.5682,39,False
Perdita totale di sé,-0.011,0.9489,39,False
Ricerca di identità tramite oggetti,0.17,0.3013,39,False
Vivere in un altro mondo,-0.038,0.8164,39,False
Paura di perdersi,-0.021,0.8994,39,False
Estraneità a se stessi,0.026,0.8736,39,False
Perdita di connessione col mondo,-0.185,0.2594,39,False
Scarsa presenza nel mondo,-0.05,0.7616,39,False
Non essere più la stessa persona,0.028,0.8654,39,False
Vuoto interiore,-0.005,0.9739,39,False
Pensare a se stessi come un'altra persona,0.278,0.0871,39,False
Disconnessione da sé e dai propri pensieri,0.076,0.6465,39,False
Svanire dall'esistenza,0.007,0.9676,39,False
Assorbimento nell'introspezione,-0.049,0.7668,39,False
Sensazione di non essere l'autore delle proprie azioni,0.145,0.3769,39,False
Sensazione di stare cambiando,-0.06,0.715,39,False
Appiattimento emotivo,-0.118,0.4744,39,False
Alterazione del significato del mondo,0.007,0.9685,39,False
Dubbio tra provare e immaginare,0.079,0.6346,39,False
Dubbio tra dire e pensare,0.36,0.0246,39,True
Alterazione della percezione del tempo,0.123,0.455,39,False
"Tempo che accelera, rallenta o si ferma",0.134,0.4166,39,False
Amnesia di azioni compiute,0.304,0.0595,39,False
Disallineamento tra espressione e vissuto interno,-0.012,0.943,39,False
Guardarsi dall'esterno,0.041,0.8057,39,False
Guardarsi da fuori dal corpo,0.213,0.1934,39,False
Età percepita alterata,0.204,0.2133,39,False
Corpo percepito come cambiato,0.049,0.7658,39,False
Arti percepiti come non propri,0.251,0.1226,39,False
Perdita di controllo del corpo,0.229,0.1608,39,False
Controllo allo specchio,0.25,0.125,39,False
Sensazioni elettriche nel corpo,-0.007,0.9666,39,False
Sensazioni termiche senza causa,0.105,0.5248,39,False
Dolore ai rumori,-0.031,0.8494,39,False
Gambe che si piegano da ferme,0.164,0.3193,39,False
Incapacità di controllare il corpo,0.199,0.2238,39,False
Impossibilità di muoversi,0.146,0.3736,39,False
Debolezza improvvisa di un arto,0.109,0.5095,39,False
Movimento percepito per imitazione,0.126,0.4464,39,False
Osservatore passivo del mondo,-0.051,0.7599,39,False
Scomparsa della barriera tra sé e il mondo,0.111,0.5016,39,False
Dubbio sulla propria esistenza,0.154,0.3492,39,False
Mancanza di idee proprie,0.092,0.5783,39,False
Non far parte del mondo,-0.124,0.4537,39,False
Sentirsi come un fantasma,-0.005,0.9754,39,False
Evitamento per mancanza di opinioni,0.081,0.6248,39,False
