Variable,r,p_value,N,Significant
Pensieri generati da altri,0.207,0.05,90,False
Parole lette da qualcun altro,0.093,0.3836,90,False
Pensieri non propri,0.226,0.0318,90,True
Pensieri come scritti,0.009,0.9303,90,False
Pensieri percepiti come rumorosi,0.163,0.1258,90,False
Pensieri ripetuti o echeggianti,0.239,0.0231,90,True
Vedere i propri pensieri,-0.063,0.5556,90,False
Vita attuale scollegata dal futuro,0.15,0.1593,90,False
Perdita di identità,0.104,0.3273,90,False
Vera identità scomparsa,0.272,0.0094,90,True
Perdita di contatto con se stessi,0.016,0.8801,90,False
Distanza da se stessi,0.118,0.2696,90,False
Perdita totale di sé,-0.018,0.8675,90,False
Ricerca di identità tramite oggetti,0.142,0.181,90,False
Vivere in un altro mondo,0.073,0.4942,90,False
Paura di perdersi,-0.038,0.7221,90,False
Estraneità a se stessi,0.079,0.4567,90,False
Perdita di connessione col mondo,-0.085,0.4248,90,False
Scarsa presenza nel mondo,-0.022,0.839,90,False
Non essere più la stessa persona,0.117,0.2738,90,False
Vuoto interiore,0.044,0.6811,90,False
Pensare a se stessi come un'altra persona,0.238,0.024,90,True
Disconnessione da sé e dai propri pensieri,0.027,0.8011,90,False
Svanire dall'esistenza,-0.1,0.3491,90,False
Assorbimento nell'introspezione,0.074,0.4883,90,False
Sensazione di non essere l'autore delle proprie azioni,0.181,0.0883,90,False
Sensazione di stare cambiando,0.082,0.4419,90,False
Appiattimento emotivo,0.163,0.1257,90,False
Alterazione del significato del mondo,0.07,0.5121,90,False
Dubbio tra provare e immaginare,0.221,0.0363,90,True
Dubbio tra dire e pensare,0.268,0.0105,90,True
Alterazione della percezione del tempo,0.136,0.2016,90,False
"Tempo che accelera, rallenta o si ferma",0.122,0.252,90,False
Amnesia di azioni compiute,0.316,0.0024,90,True
Disallineamento tra espressione e vissuto interno,-0.026,0.8098,90,False
Guardarsi dall'esterno,0.051,0.6306,90,False
Guardarsi da fuori dal corpo,0.12,0.2609,90,False
Età percepita alterata,0.074,0.4908,90,False
Corpo percepito come cambiato,0.102,0.3402,90,False
Arti percepiti come non propri,0.145,0.1739,90,False
Perdita di controllo del corpo,0.119,0.2644,90,False
Controllo allo specchio,0.166,0.117,90,False
Sensazioni elettriche nel corpo,-0.026,0.8083,90,False
Sensazioni termiche senza causa,0.142,0.1821,90,False
Dolore ai rumori,0.129,0.2241,90,False
Gambe che si piegano da ferme,0.179,0.0913,90,False
Incapacità di controllare il corpo,0.165,0.1213,90,False
Impossibilità di muoversi,0.134,0.2085,90,False
Debolezza improvvisa di un arto,0.071,0.5035,90,False
Movimento percepito per imitazione,0.12,0.2597,90,False
Osservatore passivo del mondo,0.087,0.4158,90,False
Scomparsa della barriera tra sé e il mondo,0.108,0.3105,90,False
Dubbio sulla propria esistenza,0.141,0.1848,90,False
Mancanza di idee proprie,0.117,0.2713,90,False
Non far parte del mondo,-0.123,0.2478,90,False
Sentirsi come un fantasma,0.035,0.7467,90,False
Evitamento per mancanza di opinioni,0.158,0.136,90,False
