Variable,r,p_value,N,Significant
Pensieri generati da altri,-0.054,0.6131,90,False
Parole lette da qualcun altro,-0.071,0.5058,90,False
Pensieri non propri,-0.084,0.431,90,False
Pensieri come scritti,-0.017,0.8749,90,False
Pensieri percepiti come rumorosi,-0.333,0.0013,90,True
Pensieri ripetuti o echeggianti,-0.04,0.705,90,False
Vedere i propri pensieri,-0.201,0.0576,90,False
Vita attuale scollegata dal futuro,-0.123,0.2475,90,False
Perdita di identità,-0.202,0.0565,90,False
Vera identità scomparsa,-0.052,0.6285,90,False
Perdita di contatto con se stessi,0.057,0.5959,90,False
Distanza da se stessi,0.057,0.5912,90,False
Perdita totale di sé,-0.219,0.0378,90,True
Ricerca di identità tramite oggetti,-0.006,0.9567,90,False
Vivere in un altro mondo,,,90,False
Paura di perdersi,-0.198,0.0619,90,False
Estraneità a se stessi,-0.106,0.3213,90,False
Perdita di connessione col mondo,-0.237,0.0248,90,True
Scarsa presenza nel mondo,-0.027,0.8037,90,False
Non essere più la stessa persona,-0.053,0.6216,90,False
Vuoto interiore,-0.092,0.3862,90,False
Pensare a se stessi come un'altra persona,-0.161,0.1299,90,False
Disconnessione da sé e dai propri pensieri,0.053,0.622,90,False
Svanire dall'esistenza,-0.202,0.056,90,False
Assorbimento nell'introspezione,-0.22,0.0372,90,True
Sensazione di non essere l'autore delle proprie azioni,-0.113,0.2902,90,False
Sensazione di stare cambiando,-0.193,0.0678,90,False
Appiattimento emotivo,-0.102,0.3384,90,False
Alterazione del significato del mondo,-0.097,0.3618,90,False
Dubbio tra provare e immaginare,-0.116,0.2768,90,False
Dubbio tra dire e pensare,-0.131,0.2197,90,False
Alterazione della percezione del tempo,-0.25,0.0175,90,True
"Tempo che accelera, rallenta o si ferma",-0.3,0.0041,90,True
Amnesia di azioni compiute,-0.217,0.0403,90,True
Disallineamento tra espressione e vissuto interno,0.012,0.9139,90,False
Guardarsi dall'esterno,-0.104,0.3294,90,False
Guardarsi da fuori dal corpo,-0.007,0.9472,90,False
Età percepita alterata,-0.237,0.0245,90,True
Corpo percepito come cambiato,-0.067,0.5284,90,False
Arti percepiti come non propri,0.091,0.3914,90,False
Perdita di controllo del corpo,0.056,0.603,90,False
Controllo allo specchio,,,90,False
Sensazioni elettriche nel corpo,-0.129,0.2264,90,False
Sensazioni termiche senza causa,-0.091,0.394,90,False
Dolore ai rumori,-0.284,0.0066,90,True
Gambe che si piegano da ferme,-0.182,0.0866,90,False
Incapacità di controllare il corpo,-0.239,0.023,90,True
Impossibilità di muoversi,-0.029,0.7867,90,False
Debolezza improvvisa di un arto,-0.209,0.048,90,True
Movimento percepito per imitazione,-0.07,0.5099,90,False
Osservatore passivo del mondo,-0.181,0.0884,90,False
Scomparsa della barriera tra sé e il mondo,-0.063,0.5524,90,False
Dubbio sulla propria esistenza,-0.121,0.2575,90,False
Mancanza di idee proprie,-0.134,0.2078,90,False
Non far parte del mondo,-0.281,0.0073,90,True
Sentirsi come un fantasma,-0.118,0.2666,90,False
Evitamento per mancanza di opinioni,0.088,0.4108,90,False
