Variable,r,p_value,N,Significant
Pensieri generati da altri,0.005,0.97,51,False
Parole lette da qualcun altro,-0.133,0.3531,51,False
Pensieri non propri,-0.129,0.3671,51,False
Pensieri come scritti,-0.088,0.5372,51,False
Pensieri percepiti come rumorosi,-0.438,0.0013,51,True
Pensieri ripetuti o echeggianti,-0.009,0.9513,51,False
Vedere i propri pensieri,-0.275,0.0505,51,False
Vita attuale scollegata dal futuro,-0.056,0.6965,51,False
Perdita di identità,-0.265,0.0604,51,False
Vera identità scomparsa,0.057,0.6918,51,False
Perdita di contatto con se stessi,0.073,0.6092,51,False
Distanza da se stessi,0.093,0.5151,51,False
Perdita totale di sé,-0.315,0.0241,51,True
Ricerca di identità tramite oggetti,0.034,0.811,51,False
Vivere in un altro mondo,,,51,False
Paura di perdersi,-0.19,0.182,51,False
Estraneità a se stessi,-0.132,0.3542,51,False
Perdita di connessione col mondo,-0.249,0.0776,51,False
Scarsa presenza nel mondo,-0.033,0.8195,51,False
Non essere più la stessa persona,-0.021,0.886,51,False
Vuoto interiore,-0.18,0.2059,51,False
Pensare a se stessi come un'altra persona,-0.17,0.233,51,False
Disconnessione da sé e dai propri pensieri,0.044,0.7571,51,False
Svanire dall'esistenza,-0.347,0.0127,51,True
Assorbimento nell'introspezione,-0.195,0.1712,51,False
Sensazione di non essere l'autore delle proprie azioni,-0.152,0.2883,51,False
Sensazione di stare cambiando,-0.219,0.1228,51,False
Appiattimento emotivo,-0.06,0.6761,51,False
Alterazione del significato del mondo,-0.101,0.4797,51,False
Dubbio tra provare e immaginare,-0.117,0.4116,51,False
Dubbio tra dire e pensare,-0.094,0.5107,51,False
Alterazione della percezione del tempo,-0.348,0.0124,51,True
"Tempo che accelera, rallenta o si ferma",-0.289,0.0399,51,True
Amnesia di azioni compiute,-0.235,0.0966,51,False
Disallineamento tra espressione e vissuto interno,-0.076,0.5941,51,False
Guardarsi dall'esterno,-0.109,0.4479,51,False
Guardarsi da fuori dal corpo,-0.092,0.5207,51,False
Età percepita alterata,-0.275,0.0509,51,False
Corpo percepito come cambiato,-0.006,0.968,51,False
Arti percepiti come non propri,-0.057,0.6932,51,False
Perdita di controllo del corpo,-0.016,0.9097,51,False
Controllo allo specchio,,,51,False
Sensazioni elettriche nel corpo,-0.227,0.1093,51,False
Sensazioni termiche senza causa,-0.127,0.3733,51,False
Dolore ai rumori,-0.321,0.0214,51,True
Gambe che si piegano da ferme,-0.24,0.0895,51,False
Incapacità di controllare il corpo,-0.307,0.0285,51,True
Impossibilità di muoversi,-0.012,0.9316,51,False
Debolezza improvvisa di un arto,-0.294,0.0365,51,True
Movimento percepito per imitazione,-0.153,0.2844,51,False
Osservatore passivo del mondo,-0.183,0.1991,51,False
Scomparsa della barriera tra sé e il mondo,-0.154,0.2805,51,False
Dubbio sulla propria esistenza,-0.08,0.5768,51,False
Mancanza di idee proprie,-0.111,0.4374,51,False
Non far parte del mondo,-0.377,0.0064,51,True
Sentirsi come un fantasma,-0.228,0.1076,51,False
Evitamento per mancanza di opinioni,0.106,0.4603,51,False
