Variable,r,p_value,N,Significant
Pensieri generati da altri,-0.028,0.8448,51,False
Parole lette da qualcun altro,-0.129,0.3671,51,False
Pensieri non propri,-0.054,0.7078,51,False
Pensieri come scritti,-0.137,0.3366,51,False
Pensieri percepiti come rumorosi,-0.327,0.0191,51,True
Pensieri ripetuti o echeggianti,0.055,0.7001,51,False
Vedere i propri pensieri,-0.244,0.0845,51,False
Vita attuale scollegata dal futuro,-0.064,0.6552,51,False
Perdita di identità,-0.095,0.5068,51,False
Vera identità scomparsa,0.058,0.6884,51,False
Perdita di contatto con se stessi,-0.046,0.7494,51,False
Distanza da se stessi,0.156,0.2729,51,False
Perdita totale di sé,-0.247,0.0807,51,False
Ricerca di identità tramite oggetti,-0.22,0.1201,51,False
Vivere in un altro mondo,0.09,0.5309,51,False
Paura di perdersi,-0.225,0.112,51,False
Estraneità a se stessi,-0.041,0.7768,51,False
Perdita di connessione col mondo,-0.235,0.0971,51,False
Scarsa presenza nel mondo,0.026,0.8542,51,False
Non essere più la stessa persona,-0.01,0.9445,51,False
Vuoto interiore,-0.067,0.6402,51,False
Pensare a se stessi come un'altra persona,-0.118,0.4108,51,False
Disconnessione da sé e dai propri pensieri,0.101,0.4796,51,False
Svanire dall'esistenza,-0.238,0.0919,51,False
Assorbimento nell'introspezione,-0.163,0.2529,51,False
Sensazione di non essere l'autore delle proprie azioni,-0.131,0.36,51,False
Sensazione di stare cambiando,-0.155,0.2774,51,False
Appiattimento emotivo,-0.01,0.9462,51,False
Alterazione del significato del mondo,0.063,0.6616,51,False
Dubbio tra provare e immaginare,-0.122,0.3936,51,False
Dubbio tra dire e pensare,-0.173,0.2257,51,False
Alterazione della percezione del tempo,-0.259,0.0662,51,False
"Tempo che accelera, rallenta o si ferma",-0.276,0.0503,51,False
Amnesia di azioni compiute,-0.087,0.5457,51,False
Disallineamento tra espressione e vissuto interno,-0.146,0.3076,51,False
Guardarsi dall'esterno,-0.242,0.0875,51,False
Guardarsi da fuori dal corpo,-0.029,0.8421,51,False
Età percepita alterata,-0.094,0.5099,51,False
Corpo percepito come cambiato,0.025,0.8613,51,False
Arti percepiti come non propri,-0.151,0.2912,51,False
Perdita di controllo del corpo,-0.085,0.555,51,False
Controllo allo specchio,-0.282,0.045,51,True
Sensazioni elettriche nel corpo,-0.181,0.204,51,False
Sensazioni termiche senza causa,0.013,0.9277,51,False
Dolore ai rumori,-0.253,0.073,51,False
Gambe che si piegano da ferme,-0.115,0.4196,51,False
Incapacità di controllare il corpo,-0.166,0.2449,51,False
Impossibilità di muoversi,-0.349,0.012,51,True
Debolezza improvvisa di un arto,-0.312,0.0257,51,True
Movimento percepito per imitazione,-0.108,0.452,51,False
Osservatore passivo del mondo,-0.196,0.1685,51,False
Scomparsa della barriera tra sé e il mondo,-0.056,0.6987,51,False
Dubbio sulla propria esistenza,-0.115,0.421,51,False
Mancanza di idee proprie,-0.333,0.017,51,True
Non far parte del mondo,-0.286,0.0422,51,True
Sentirsi come un fantasma,-0.216,0.1279,51,False
Evitamento per mancanza di opinioni,-0.143,0.3169,51,False
