Variable,r,p_value,N,Significant
Pensieri generati da altri,0.136,0.4083,39,False
Parole lette da qualcun altro,-0.088,0.5954,39,False
Pensieri non propri,0.043,0.793,39,False
Pensieri come scritti,0.08,0.6278,39,False
Pensieri percepiti come rumorosi,0.073,0.6573,39,False
Pensieri ripetuti o echeggianti,0.065,0.6933,39,False
Vedere i propri pensieri,-0.081,0.6225,39,False
Vita attuale scollegata dal futuro,0.05,0.761,39,False
Perdita di identità,0.055,0.7415,39,False
Vera identità scomparsa,-0.133,0.419,39,False
Perdita di contatto con se stessi,0.114,0.4907,39,False
Distanza da se stessi,-0.011,0.9472,39,False
Perdita totale di sé,-0.023,0.8884,39,False
Ricerca di identità tramite oggetti,0.286,0.0778,39,False
Vivere in un altro mondo,0.096,0.5618,39,False
Paura di perdersi,0.126,0.4452,39,False
Estraneità a se stessi,0.001,0.9951,39,False
Perdita di connessione col mondo,-0.079,0.6343,39,False
Scarsa presenza nel mondo,-0.079,0.6326,39,False
Non essere più la stessa persona,-0.138,0.401,39,False
Vuoto interiore,0.021,0.899,39,False
Pensare a se stessi come un'altra persona,0.096,0.5591,39,False
Disconnessione da sé e dai propri pensieri,0.217,0.1836,39,False
Svanire dall'esistenza,0.128,0.4389,39,False
Assorbimento nell'introspezione,0.083,0.6156,39,False
Sensazione di non essere l'autore delle proprie azioni,-0.015,0.9268,39,False
Sensazione di stare cambiando,-0.03,0.8546,39,False
Appiattimento emotivo,-0.118,0.4729,39,False
Alterazione del significato del mondo,0.182,0.2665,39,False
Dubbio tra provare e immaginare,0.161,0.3273,39,False
Dubbio tra dire e pensare,0.113,0.493,39,False
Alterazione della percezione del tempo,0.122,0.4601,39,False
"Tempo che accelera, rallenta o si ferma",0.079,0.6308,39,False
Amnesia di azioni compiute,0.144,0.3827,39,False
Disallineamento tra espressione e vissuto interno,0.097,0.5558,39,False
Guardarsi dall'esterno,-0.099,0.5504,39,False
Guardarsi da fuori dal corpo,0.126,0.4448,39,False
Età percepita alterata,0.197,0.2304,39,False
Corpo percepito come cambiato,0.115,0.4864,39,False
Arti percepiti come non propri,0.277,0.0878,39,False
Perdita di controllo del corpo,0.158,0.3367,39,False
Controllo allo specchio,0.268,0.099,39,False
Sensazioni elettriche nel corpo,-0.032,0.8445,39,False
Sensazioni termiche senza causa,0.015,0.9277,39,False
Dolore ai rumori,0.007,0.9668,39,False
Gambe che si piegano da ferme,0.114,0.4907,39,False
Incapacità di controllare il corpo,0.045,0.7859,39,False
Impossibilità di muoversi,0.035,0.8338,39,False
Debolezza improvvisa di un arto,0.081,0.6238,39,False
Movimento percepito per imitazione,0.038,0.8187,39,False
Osservatore passivo del mondo,-0.072,0.6637,39,False
Scomparsa della barriera tra sé e il mondo,0.109,0.5104,39,False
Dubbio sulla propria esistenza,0.1,0.5447,39,False
Mancanza di idee proprie,0.057,0.7316,39,False
Non far parte del mondo,-0.157,0.3392,39,False
Sentirsi come un fantasma,0.144,0.3827,39,False
Evitamento per mancanza di opinioni,0.087,0.5993,39,False
