Variable,r,p_value,N,Significant
Pensieri generati da altri,0.221,0.1773,39,False
Parole lette da qualcun altro,0.188,0.253,39,False
Pensieri non propri,-0.01,0.9527,39,False
Pensieri come scritti,0.176,0.2847,39,False
Pensieri percepiti come rumorosi,0.246,0.1306,39,False
Pensieri ripetuti o echeggianti,0.253,0.1204,39,False
Vedere i propri pensieri,0.246,0.1306,39,False
Vita attuale scollegata dal futuro,0.145,0.3801,39,False
Perdita di identità,0.196,0.2323,39,False
Vera identità scomparsa,0.062,0.7095,39,False
Perdita di contatto con se stessi,-0.003,0.9878,39,False
Distanza da se stessi,0.118,0.4757,39,False
Perdita totale di sé,0.152,0.3569,39,False
Ricerca di identità tramite oggetti,,,39,False
Vivere in un altro mondo,,,39,False
Paura di perdersi,-0.081,0.6243,39,False
Estraneità a se stessi,0.065,0.6942,39,False
Perdita di connessione col mondo,0.068,0.6821,39,False
Scarsa presenza nel mondo,0.3,0.0639,39,False
Non essere più la stessa persona,0.169,0.3051,39,False
Vuoto interiore,0.164,0.3187,39,False
Pensare a se stessi come un'altra persona,0.196,0.2329,39,False
Disconnessione da sé e dai propri pensieri,0.06,0.7189,39,False
Svanire dall'esistenza,-0.006,0.9729,39,False
Assorbimento nell'introspezione,-0.116,0.4807,39,False
Sensazione di non essere l'autore delle proprie azioni,0.035,0.8324,39,False
Sensazione di stare cambiando,0.329,0.041,39,True
Appiattimento emotivo,-0.167,0.3106,39,False
Alterazione del significato del mondo,0.041,0.8023,39,False
Dubbio tra provare e immaginare,0.246,0.1306,39,False
Dubbio tra dire e pensare,0.285,0.0784,39,False
Alterazione della percezione del tempo,0.373,0.0193,39,True
"Tempo che accelera, rallenta o si ferma",-0.167,0.3106,39,False
Amnesia di azioni compiute,0.246,0.1306,39,False
Disallineamento tra espressione e vissuto interno,-0.017,0.9162,39,False
Guardarsi dall'esterno,0.013,0.9372,39,False
Guardarsi da fuori dal corpo,0.148,0.3677,39,False
Età percepita alterata,0.1,0.5434,39,False
Corpo percepito come cambiato,0.124,0.4516,39,False
Arti percepiti come non propri,0.447,0.0044,39,True
Perdita di controllo del corpo,0.225,0.1685,39,False
Controllo allo specchio,,,39,False
Sensazioni elettriche nel corpo,-0.097,0.5564,39,False
Sensazioni termiche senza causa,0.05,0.7647,39,False
Dolore ai rumori,-0.073,0.6601,39,False
Gambe che si piegano da ferme,,,39,False
Incapacità di controllare il corpo,0.136,0.4083,39,False
Impossibilità di muoversi,,,39,False
Debolezza improvvisa di un arto,0.245,0.1324,39,False
Movimento percepito per imitazione,0.246,0.1306,39,False
Osservatore passivo del mondo,0.05,0.7647,39,False
Scomparsa della barriera tra sé e il mondo,0.237,0.1466,39,False
Dubbio sulla propria esistenza,0.011,0.9449,39,False
Mancanza di idee proprie,,,39,False
Non far parte del mondo,-0.004,0.9804,39,False
Sentirsi come un fantasma,0.246,0.1306,39,False
Evitamento per mancanza di opinioni,,,39,False
