Variable,r,p_value,N,Significant
Pensieri generati da altri,0.225,0.1683,39,False
Parole lette da qualcun altro,0.062,0.7087,39,False
Pensieri non propri,0.018,0.9114,39,False
Pensieri come scritti,0.128,0.4377,39,False
Pensieri percepiti come rumorosi,0.294,0.0693,39,False
Pensieri ripetuti o echeggianti,0.227,0.1644,39,False
Vedere i propri pensieri,-0.052,0.7528,39,False
Vita attuale scollegata dal futuro,0.091,0.5835,39,False
Perdita di identità,0.192,0.2428,39,False
Vera identità scomparsa,0.2,0.2225,39,False
Perdita di contatto con se stessi,0.073,0.6598,39,False
Distanza da se stessi,0.126,0.4444,39,False
Perdita totale di sé,-0.015,0.926,39,False
Ricerca di identità tramite oggetti,0.148,0.367,39,False
Vivere in un altro mondo,0.058,0.7244,39,False
Paura di perdersi,0.078,0.6385,39,False
Estraneità a se stessi,0.069,0.6755,39,False
Perdita di connessione col mondo,0.017,0.9192,39,False
Scarsa presenza nel mondo,0.132,0.4217,39,False
Non essere più la stessa persona,0.164,0.3189,39,False
Vuoto interiore,0.033,0.843,39,False
Pensare a se stessi come un'altra persona,0.319,0.0476,39,True
Disconnessione da sé e dai propri pensieri,0.106,0.5194,39,False
Svanire dall'esistenza,0.052,0.7551,39,False
Assorbimento nell'introspezione,-0.023,0.888,39,False
Sensazione di non essere l'autore delle proprie azioni,0.069,0.6782,39,False
Sensazione di stare cambiando,0.071,0.6697,39,False
Appiattimento emotivo,0.054,0.7448,39,False
Alterazione del significato del mondo,0.011,0.9475,39,False
Dubbio tra provare e immaginare,0.283,0.0809,39,False
Dubbio tra dire e pensare,0.4,0.0115,39,True
Alterazione della percezione del tempo,0.284,0.0802,39,False
"Tempo che accelera, rallenta o si ferma",0.181,0.2714,39,False
Amnesia di azioni compiute,0.301,0.0631,39,False
Disallineamento tra espressione e vissuto interno,-0.036,0.8272,39,False
Guardarsi dall'esterno,0.112,0.4991,39,False
Guardarsi da fuori dal corpo,0.227,0.164,39,False
Età percepita alterata,0.159,0.335,39,False
Corpo percepito come cambiato,0.02,0.9055,39,False
Arti percepiti come non propri,0.194,0.237,39,False
Perdita di controllo del corpo,0.24,0.1415,39,False
Controllo allo specchio,0.322,0.0457,39,True
Sensazioni elettriche nel corpo,-0.052,0.7518,39,False
Sensazioni termiche senza causa,0.257,0.1136,39,False
Dolore ai rumori,0.103,0.5323,39,False
Gambe che si piegano da ferme,0.152,0.3549,39,False
Incapacità di controllare il corpo,0.332,0.0392,39,True
Impossibilità di muoversi,0.23,0.159,39,False
Debolezza improvvisa di un arto,0.23,0.1588,39,False
Movimento percepito per imitazione,0.078,0.6371,39,False
Osservatore passivo del mondo,0.086,0.6044,39,False
Scomparsa della barriera tra sé e il mondo,0.24,0.141,39,False
Dubbio sulla propria esistenza,0.057,0.7304,39,False
Mancanza di idee proprie,0.185,0.2583,39,False
Non far parte del mondo,0.044,0.789,39,False
Sentirsi come un fantasma,0.071,0.6656,39,False
Evitamento per mancanza di opinioni,0.175,0.2861,39,False
