Variable,r,p_value,N,Significant
Pensieri generati da altri,-0.091,0.3943,90,False
Parole lette da qualcun altro,-0.074,0.4905,90,False
Pensieri non propri,-0.091,0.3943,90,False
Pensieri come scritti,-0.068,0.5266,90,False
Pensieri percepiti come rumorosi,-0.372,0.0003,90,True
Pensieri ripetuti o echeggianti,-0.095,0.3751,90,False
Vedere i propri pensieri,-0.208,0.0487,90,True
Vita attuale scollegata dal futuro,-0.137,0.1963,90,False
Perdita di identità,-0.18,0.0893,90,False
Vera identità scomparsa,-0.035,0.7456,90,False
Perdita di contatto con se stessi,0.057,0.5951,90,False
Distanza da se stessi,0.086,0.4209,90,False
Perdita totale di sé,-0.227,0.0315,90,True
Ricerca di identità tramite oggetti,0.009,0.9351,90,False
Vivere in un altro mondo,,,90,False
Paura di perdersi,-0.141,0.1857,90,False
Estraneità a se stessi,-0.07,0.5098,90,False
Perdita di connessione col mondo,-0.249,0.018,90,True
Scarsa presenza nel mondo,-0.012,0.9119,90,False
Non essere più la stessa persona,-0.022,0.8391,90,False
Vuoto interiore,-0.04,0.7067,90,False
Pensare a se stessi come un'altra persona,-0.157,0.1389,90,False
Disconnessione da sé e dai propri pensieri,0.056,0.6021,90,False
Svanire dall'esistenza,-0.203,0.0552,90,False
Assorbimento nell'introspezione,-0.192,0.0698,90,False
Sensazione di non essere l'autore delle proprie azioni,-0.066,0.5377,90,False
Sensazione di stare cambiando,-0.186,0.0786,90,False
Appiattimento emotivo,-0.082,0.4407,90,False
Alterazione del significato del mondo,-0.096,0.3686,90,False
Dubbio tra provare e immaginare,-0.14,0.1874,90,False
Dubbio tra dire e pensare,-0.121,0.2558,90,False
Alterazione della percezione del tempo,-0.256,0.0149,90,True
"Tempo che accelera, rallenta o si ferma",-0.259,0.0137,90,True
Amnesia di azioni compiute,-0.226,0.0322,90,True
Disallineamento tra espressione e vissuto interno,0.033,0.7608,90,False
Guardarsi dall'esterno,-0.107,0.3149,90,False
Guardarsi da fuori dal corpo,-0.048,0.6542,90,False
Età percepita alterata,-0.255,0.0154,90,True
Corpo percepito come cambiato,-0.07,0.5123,90,False
Arti percepiti come non propri,0.023,0.8275,90,False
Perdita di controllo del corpo,-0.01,0.9262,90,False
Controllo allo specchio,,,90,False
Sensazioni elettriche nel corpo,-0.137,0.1991,90,False
Sensazioni termiche senza causa,-0.13,0.2214,90,False
Dolore ai rumori,-0.262,0.0128,90,True
Gambe che si piegano da ferme,-0.173,0.102,90,False
Incapacità di controllare il corpo,-0.229,0.0299,90,True
Impossibilità di muoversi,-0.013,0.9027,90,False
Debolezza improvvisa di un arto,-0.291,0.0054,90,True
Movimento percepito per imitazione,-0.133,0.2106,90,False
Osservatore passivo del mondo,-0.188,0.0763,90,False
Scomparsa della barriera tra sé e il mondo,-0.064,0.5459,90,False
Dubbio sulla propria esistenza,-0.133,0.2106,90,False
Mancanza di idee proprie,-0.122,0.2502,90,False
Non far parte del mondo,-0.255,0.0153,90,True
Sentirsi come un fantasma,-0.207,0.0507,90,False
Evitamento per mancanza di opinioni,0.092,0.3893,90,False
