Variable,r,p_value,N,Significant
Pensieri generati da altri,-0.043,0.7581,53,False
Parole lette da qualcun altro,-0.155,0.2664,53,False
Pensieri non propri,-0.117,0.4047,53,False
Pensieri come scritti,-0.106,0.451,53,False
Pensieri percepiti come rumorosi,-0.421,0.0017,53,True
Pensieri ripetuti o echeggianti,-0.054,0.6986,53,False
Vedere i propri pensieri,-0.217,0.1187,53,False
Vita attuale scollegata dal futuro,-0.036,0.8007,53,False
Perdita di identità,-0.207,0.1364,53,False
Vera identità scomparsa,0.056,0.6882,53,False
Perdita di contatto con se stessi,0.084,0.5484,53,False
Distanza da se stessi,0.13,0.3532,53,False
Perdita totale di sé,-0.264,0.0561,53,False
Ricerca di identità tramite oggetti,0.045,0.7473,53,False
Vivere in un altro mondo,,,53,False
Paura di perdersi,-0.163,0.2438,53,False
Estraneità a se stessi,-0.078,0.5775,53,False
Perdita di connessione col mondo,-0.26,0.0601,53,False
Scarsa presenza nel mondo,-0.008,0.9543,53,False
Non essere più la stessa persona,-0.006,0.9639,53,False
Vuoto interiore,-0.1,0.4753,53,False
Pensare a se stessi come un'altra persona,-0.159,0.2553,53,False
Disconnessione da sé e dai propri pensieri,0.089,0.5278,53,False
Svanire dall'esistenza,-0.279,0.0432,53,True
Assorbimento nell'introspezione,-0.152,0.2763,53,False
Sensazione di non essere l'autore delle proprie azioni,-0.069,0.6232,53,False
Sensazione di stare cambiando,-0.154,0.2719,53,False
Appiattimento emotivo,-0.041,0.7719,53,False
Alterazione del significato del mondo,-0.044,0.7539,53,False
Dubbio tra provare e immaginare,-0.079,0.5747,53,False
Dubbio tra dire e pensare,-0.095,0.5003,53,False
Alterazione della percezione del tempo,-0.286,0.0379,53,True
"Tempo che accelera, rallenta o si ferma",-0.228,0.1013,53,False
Amnesia di azioni compiute,-0.18,0.1962,53,False
Disallineamento tra espressione e vissuto interno,-0.015,0.915,53,False
Guardarsi dall'esterno,-0.099,0.4786,53,False
Guardarsi da fuori dal corpo,-0.141,0.3136,53,False
Età percepita alterata,-0.265,0.0547,53,False
Corpo percepito come cambiato,-0.007,0.9607,53,False
Arti percepiti come non propri,-0.066,0.6403,53,False
Perdita di controllo del corpo,-0.086,0.5418,53,False
Controllo allo specchio,,,53,False
Sensazioni elettriche nel corpo,-0.215,0.1218,53,False
Sensazioni termiche senza causa,-0.097,0.4883,53,False
Dolore ai rumori,-0.275,0.046,53,True
Gambe che si piegano da ferme,-0.218,0.1175,53,False
Incapacità di controllare il corpo,-0.239,0.0844,53,False
Impossibilità di muoversi,0.009,0.9471,53,False
Debolezza improvvisa di un arto,-0.3,0.0291,53,True
Movimento percepito per imitazione,-0.125,0.371,53,False
Osservatore passivo del mondo,-0.136,0.3324,53,False
Scomparsa della barriera tra sé e il mondo,-0.092,0.5139,53,False
Dubbio sulla propria esistenza,-0.107,0.4448,53,False
Mancanza di idee proprie,-0.092,0.513,53,False
Non far parte del mondo,-0.321,0.0191,53,True
Sentirsi come un fantasma,-0.199,0.1534,53,False
Evitamento per mancanza di opinioni,0.109,0.438,53,False
