Variable,r,p_value,N,Significant
Pensieri generati da altri,-0.069,0.6245,53,False
Parole lette da qualcun altro,-0.158,0.258,53,False
Pensieri non propri,-0.007,0.9577,53,False
Pensieri come scritti,-0.166,0.2353,53,False
Pensieri percepiti come rumorosi,-0.324,0.0178,53,True
Pensieri ripetuti o echeggianti,0.022,0.8779,53,False
Vedere i propri pensieri,-0.277,0.0443,53,True
Vita attuale scollegata dal futuro,-0.077,0.5824,53,False
Perdita di identità,-0.035,0.8046,53,False
Vera identità scomparsa,0.088,0.5323,53,False
Perdita di contatto con se stessi,-0.017,0.9046,53,False
Distanza da se stessi,0.18,0.196,53,False
Perdita totale di sé,-0.147,0.2934,53,False
Ricerca di identità tramite oggetti,-0.272,0.0489,53,True
Vivere in un altro mondo,0.036,0.7975,53,False
Paura di perdersi,-0.17,0.2244,53,False
Estraneità a se stessi,-0.0,0.9993,53,False
Perdita di connessione col mondo,-0.211,0.1291,53,False
Scarsa presenza nel mondo,0.099,0.4819,53,False
Non essere più la stessa persona,0.036,0.7999,53,False
Vuoto interiore,0.019,0.8906,53,False
Pensare a se stessi come un'altra persona,-0.097,0.488,53,False
Disconnessione da sé e dai propri pensieri,0.143,0.3059,53,False
Svanire dall'esistenza,-0.145,0.2996,53,False
Assorbimento nell'introspezione,-0.067,0.6356,53,False
Sensazione di non essere l'autore delle proprie azioni,-0.069,0.6239,53,False
Sensazione di stare cambiando,-0.115,0.4118,53,False
Appiattimento emotivo,0.023,0.8718,53,False
Alterazione del significato del mondo,0.053,0.7046,53,False
Dubbio tra provare e immaginare,-0.161,0.2492,53,False
Dubbio tra dire e pensare,-0.193,0.1661,53,False
Alterazione della percezione del tempo,-0.24,0.0836,53,False
"Tempo che accelera, rallenta o si ferma",-0.296,0.0311,53,True
Amnesia di azioni compiute,-0.069,0.6224,53,False
Disallineamento tra espressione e vissuto interno,-0.088,0.5321,53,False
Guardarsi dall'esterno,-0.253,0.0671,53,False
Guardarsi da fuori dal corpo,-0.015,0.9169,53,False
Età percepita alterata,-0.108,0.4418,53,False
Corpo percepito come cambiato,0.013,0.9258,53,False
Arti percepiti come non propri,-0.199,0.1524,53,False
Perdita di controllo del corpo,-0.129,0.3584,53,False
Controllo allo specchio,-0.284,0.0392,53,True
Sensazioni elettriche nel corpo,-0.186,0.1825,53,False
Sensazioni termiche senza causa,-0.037,0.7942,53,False
Dolore ai rumori,-0.223,0.1079,53,False
Gambe che si piegano da ferme,-0.155,0.267,53,False
Incapacità di controllare il corpo,-0.157,0.2624,53,False
Impossibilità di muoversi,-0.358,0.0086,53,True
Debolezza improvvisa di un arto,-0.34,0.0126,53,True
Movimento percepito per imitazione,-0.13,0.3537,53,False
Osservatore passivo del mondo,-0.179,0.1995,53,False
Scomparsa della barriera tra sé e il mondo,-0.053,0.708,53,False
Dubbio sulla propria esistenza,-0.164,0.24,53,False
Mancanza di idee proprie,-0.281,0.0415,53,True
Non far parte del mondo,-0.238,0.0861,53,False
Sentirsi come un fantasma,-0.216,0.12,53,False
Evitamento per mancanza di opinioni,-0.13,0.3544,53,False
