Variable,r,p_value,N,Significant
Pensieri generati da altri,0.063,0.713,37,False
Parole lette da qualcun altro,0.211,0.209,37,False
Pensieri non propri,0.103,0.5445,37,False
Pensieri come scritti,0.158,0.351,37,False
Pensieri percepiti come rumorosi,,,37,False
Pensieri ripetuti o echeggianti,0.004,0.9796,37,False
Vedere i propri pensieri,,,37,False
Vita attuale scollegata dal futuro,-0.057,0.7392,37,False
Perdita di identità,0.047,0.7816,37,False
Vera identità scomparsa,-0.077,0.6487,37,False
Perdita di contatto con se stessi,-0.001,0.9974,37,False
Distanza da se stessi,0.08,0.6395,37,False
Perdita totale di sé,-0.032,0.8531,37,False
Ricerca di identità tramite oggetti,,,37,False
Vivere in un altro mondo,,,37,False
Paura di perdersi,-0.059,0.7296,37,False
Estraneità a se stessi,0.045,0.792,37,False
Perdita di connessione col mondo,-0.162,0.3393,37,False
Scarsa presenza nel mondo,-0.048,0.7757,37,False
Non essere più la stessa persona,0.079,0.6441,37,False
Vuoto interiore,0.084,0.6222,37,False
Pensare a se stessi come un'altra persona,-0.023,0.8924,37,False
Disconnessione da sé e dai propri pensieri,0.088,0.6031,37,False
Svanire dall'esistenza,0.052,0.7612,37,False
Assorbimento nell'introspezione,-0.141,0.4065,37,False
Sensazione di non essere l'autore delle proprie azioni,-0.034,0.8405,37,False
Sensazione di stare cambiando,0.031,0.8545,37,False
Appiattimento emotivo,-0.18,0.2867,37,False
Alterazione del significato del mondo,-0.156,0.357,37,False
Dubbio tra provare e immaginare,,,37,False
Dubbio tra dire e pensare,0.106,0.5305,37,False
Alterazione della percezione del tempo,0.235,0.1622,37,False
"Tempo che accelera, rallenta o si ferma",-0.18,0.2867,37,False
Amnesia di azioni compiute,,,37,False
Disallineamento tra espressione e vissuto interno,0.007,0.9683,37,False
Guardarsi dall'esterno,-0.125,0.4617,37,False
Guardarsi da fuori dal corpo,0.2,0.2359,37,False
Età percepita alterata,-0.073,0.6661,37,False
Corpo percepito come cambiato,-0.023,0.8919,37,False
Arti percepiti come non propri,0.366,0.026,37,True
Perdita di controllo del corpo,0.088,0.6044,37,False
Controllo allo specchio,,,37,False
Sensazioni elettriche nel corpo,-0.019,0.9094,37,False
Sensazioni termiche senza causa,-0.18,0.2867,37,False
Dolore ai rumori,-0.135,0.427,37,False
Gambe che si piegano da ferme,,,37,False
Incapacità di controllare il corpo,0.039,0.8204,37,False
Impossibilità di muoversi,,,37,False
Debolezza improvvisa di un arto,-0.079,0.6404,37,False
Movimento percepito per imitazione,,,37,False
Osservatore passivo del mondo,-0.18,0.2867,37,False
Scomparsa della barriera tra sé e il mondo,0.055,0.7475,37,False
Dubbio sulla propria esistenza,-0.079,0.6404,37,False
Mancanza di idee proprie,,,37,False
Non far parte del mondo,-0.222,0.1868,37,False
Sentirsi come un fantasma,,,37,False
Evitamento per mancanza di opinioni,,,37,False
