Variable,r,p_value,N,Significant
Pensieri generati da altri,-0.088,0.4088,90,False
Parole lette da qualcun altro,-0.14,0.1888,90,False
Pensieri non propri,-0.041,0.7009,90,False
Pensieri come scritti,-0.133,0.2122,90,False
Pensieri percepiti come rumorosi,-0.226,0.0319,90,True
Pensieri ripetuti o echeggianti,-0.072,0.4982,90,False
Vedere i propri pensieri,-0.268,0.0107,90,True
Vita attuale scollegata dal futuro,-0.148,0.1635,90,False
Perdita di identità,-0.006,0.9532,90,False
Vera identità scomparsa,-0.05,0.6394,90,False
Perdita di contatto con se stessi,0.007,0.9497,90,False
Distanza da se stessi,0.116,0.2779,90,False
Perdita totale di sé,-0.146,0.1691,90,False
Ricerca di identità tramite oggetti,-0.165,0.1209,90,False
Vivere in un altro mondo,0.068,0.5234,90,False
Paura di perdersi,-0.098,0.3602,90,False
Estraneità a se stessi,0.021,0.8478,90,False
Perdita di connessione col mondo,-0.156,0.1412,90,False
Scarsa presenza nel mondo,0.038,0.721,90,False
Non essere più la stessa persona,-0.03,0.7798,90,False
Vuoto interiore,-0.005,0.9611,90,False
Pensare a se stessi come un'altra persona,-0.093,0.3813,90,False
Disconnessione da sé e dai propri pensieri,0.123,0.2482,90,False
Svanire dall'esistenza,-0.085,0.4281,90,False
Assorbimento nell'introspezione,-0.081,0.4471,90,False
Sensazione di non essere l'autore delle proprie azioni,-0.041,0.6993,90,False
Sensazione di stare cambiando,-0.115,0.2798,90,False
Appiattimento emotivo,-0.045,0.6713,90,False
Alterazione del significato del mondo,0.04,0.7075,90,False
Dubbio tra provare e immaginare,-0.135,0.204,90,False
Dubbio tra dire e pensare,-0.134,0.2083,90,False
Alterazione della percezione del tempo,-0.214,0.0431,90,True
"Tempo che accelera, rallenta o si ferma",-0.219,0.0377,90,True
Amnesia di azioni compiute,-0.145,0.173,90,False
Disallineamento tra espressione e vissuto interno,-0.01,0.928,90,False
Guardarsi dall'esterno,-0.181,0.0871,90,False
Guardarsi da fuori dal corpo,0.002,0.9866,90,False
Età percepita alterata,-0.074,0.4904,90,False
Corpo percepito come cambiato,-0.01,0.9221,90,False
Arti percepiti come non propri,-0.085,0.4243,90,False
Perdita di controllo del corpo,-0.049,0.6471,90,False
Controllo allo specchio,-0.108,0.3099,90,False
Sensazioni elettriche nel corpo,-0.143,0.1781,90,False
Sensazioni termiche senza causa,-0.086,0.4189,90,False
Dolore ai rumori,-0.165,0.1201,90,False
Gambe che si piegano da ferme,-0.14,0.1885,90,False
Incapacità di controllare il corpo,-0.146,0.1711,90,False
Impossibilità di muoversi,-0.267,0.011,90,True
Debolezza improvvisa di un arto,-0.294,0.0049,90,True
Movimento percepito per imitazione,-0.114,0.2846,90,False
Osservatore passivo del mondo,-0.207,0.05,90,False
Scomparsa della barriera tra sé e il mondo,-0.039,0.7164,90,False
Dubbio sulla propria esistenza,-0.119,0.2658,90,False
Mancanza di idee proprie,-0.203,0.0554,90,False
Non far parte del mondo,-0.169,0.1123,90,False
Sentirsi come un fantasma,-0.062,0.5625,90,False
Evitamento per mancanza di opinioni,-0.136,0.1996,90,False
