Group,Variable_type,PANSS_scale,N_Significant,N_Total
Delusion,items,POS_PANSS,4,57
Delusion,items,NEG_PANSS,12,57
Delusion,items,DIS_PANSS,9,57
Delusion,items,EXC_PANSS,9,57
Delusion,items,EMO_PANSS,1,57
Delusion,items,TOT_PANSS,6,57
Delusion,items,PANSS_POS,2,57
Delusion,items,PANSS_NEG,16,57
Delusion,items,PANSS_GEN,7,57
Delusion,items,PANSS_TOT,9,57
Delusion,macro,POS_PANSS,0,5
Delusion,macro,NEG_PANSS,1,5
Delusion,macro,DIS_PANSS,0,5
Delusion,macro,EXC_PANSS,0,5
Delusion,macro,EMO_PANSS,0,5
Delusion,macro,TOT_PANSS,0,5
Delusion,macro,PANSS_POS,0,5
Delusion,macro,PANSS_NEG,1,5
Delusion,macro,PANSS_GEN,0,5
Delusion,macro,PANSS_TOT,0,5
Delusion,mean_score,POS_PANSS,0,1
Delusion,mean_score,NEG_PANSS,0,1
Delusion,mean_score,DIS_PANSS,0,1
Delusion,mean_score,EXC_PANSS,0,1
Delusion,mean_score,EMO_PANSS,0,1
Delusion,mean_score,TOT_PANSS,0,1
Delusion,mean_score,PANSS_POS,0,1
Delusion,mean_score,PANSS_NEG,0,1
Delusion,mean_score,PANSS_GEN,0,1
Delusion,mean_score,PANSS_TOT,0,1
Voices,items,POS_PANSS,3,57
Voices,items,NEG_PANSS,4,57
Voices,items,DIS_PANSS,2,57
Voices,items,EXC_PANSS,1,57
Voices,items,EMO_PANSS,1,57
Voices,items,TOT_PANSS,1,57
Voices,items,PANSS_POS,2,57
Voices,items,PANSS_NEG,1,57
Voices,items,PANSS_GEN,2,57
Voices,items,PANSS_TOT,2,57
Voices,macro,POS_PANSS,0,5
Voices,macro,NEG_PANSS,0,5
Voices,macro,DIS_PANSS,0,5
Voices,macro,EXC_PANSS,0,5
Voices,macro,EMO_PANSS,0,5
Voices,macro,TOT_PANSS,0,5
Voices,macro,PANSS_POS,0,5
Voices,macro,PANSS_NEG,0,5
Voices,macro,PANSS_GEN,0,5
Voices,macro,PANSS_TOT,0,5
Voices,mean_score,POS_PANSS,0,1
Voices,mean_score,NEG_PANSS,0,1
Voices,mean_score,DIS_PANSS,0,1
Voices,mean_score,EXC_PANSS,0,1
Voices,mean_score,EMO_PANSS,0,1
Voices,mean_score,TOT_PANSS,0,1
Voices,mean_score,PANSS_POS,0,1
Voices,mean_score,PANSS_NEG,0,1
Voices,mean_score,PANSS_GEN,0,1
Voices,mean_score,PANSS_TOT,0,1
Delusion_raw,items,POS_PANSS,3,57
Delusion_raw,items,NEG_PANSS,14,57
Delusion_raw,items,DIS_PANSS,7,57
Delusion_raw,items,EXC_PANSS,4,57
Delusion_raw,items,EMO_PANSS,2,57
Delusion_raw,items,TOT_PANSS,8,57
Delusion_raw,items,PANSS_POS,3,57
Delusion_raw,items,PANSS_NEG,18,57
Delusion_raw,items,PANSS_GEN,5,57
Delusion_raw,items,PANSS_TOT,6,57
Delusion_raw,macro,POS_PANSS,0,5
Delusion_raw,macro,NEG_PANSS,1,5
Delusion_raw,macro,DIS_PANSS,0,5
Delusion_raw,macro,EXC_PANSS,0,5
Delusion_raw,macro,EMO_PANSS,0,5
Delusion_raw,macro,TOT_PANSS,0,5
Delusion_raw,macro,PANSS_POS,0,5
Delusion_raw,macro,PANSS_NEG,2,5
Delusion_raw,macro,PANSS_GEN,0,5
Delusion_raw,macro,PANSS_TOT,0,5
Delusion_raw,mean_score,POS_PANSS,0,1
Delusion_raw,mean_score,NEG_PANSS,0,1
Delusion_raw,mean_score,DIS_PANSS,0,1
Delusion_raw,mean_score,EXC_PANSS,0,1
Delusion_raw,mean_score,EMO_PANSS,0,1
Delusion_raw,mean_score,TOT_PANSS,0,1
Delusion_raw,mean_score,PANSS_POS,0,1
Delusion_raw,mean_score,PANSS_NEG,0,1
Delusion_raw,mean_score,PANSS_GEN,0,1
Delusion_raw,mean_score,PANSS_TOT,0,1
Voices_raw,items,POS_PANSS,4,57
Voices_raw,items,NEG_PANSS,0,57
Voices_raw,items,DIS_PANSS,1,57
Voices_raw,items,EXC_PANSS,0,57
Voices_raw,items,EMO_PANSS,2,57
Voices_raw,items,TOT_PANSS,0,57
Voices_raw,items,PANSS_POS,1,57
Voices_raw,items,PANSS_NEG,0,57
Voices_raw,items,PANSS_GEN,0,57
Voices_raw,items,PANSS_TOT,0,57
Voices_raw,macro,POS_PANSS,0,5
Voices_raw,macro,NEG_PANSS,0,5
Voices_raw,macro,DIS_PANSS,0,5
Voices_raw,macro,EXC_PANSS,0,5
Voices_raw,macro,EMO_PANSS,0,5
Voices_raw,macro,TOT_PANSS,0,5
Voices_raw,macro,PANSS_POS,0,5
Voices_raw,macro,PANSS_NEG,0,5
Voices_raw,macro,PANSS_GEN,0,5
Voices_raw,macro,PANSS_TOT,0,5
Voices_raw,mean_score,POS_PANSS,0,1
Voices_raw,mean_score,NEG_PANSS,0,1
Voices_raw,mean_score,DIS_PANSS,0,1
Voices_raw,mean_score,EXC_PANSS,0,1
Voices_raw,mean_score,EMO_PANSS,0,1
Voices_raw,mean_score,TOT_PANSS,0,1
Voices_raw,mean_score,PANSS_POS,0,1
Voices_raw,mean_score,PANSS_NEG,0,1
Voices_raw,mean_score,PANSS_GEN,0,1
Voices_raw,mean_score,PANSS_TOT,0,1
